Local;Data;Horário;ID do Trabalho;Título;Autor(es);Orientador(es);Resumo
CCMN / Decania Bloco: F Andar: 3º Sala 004;22 Sep / SEG;09:00 às 12:00h;277;DINÂMICA ESTOCÁSTICA E O MOVIMENTO BROWNIANO;FERNANDO NICACIO;LUZIA VITÓRIA DO NASCIMENTO RODRIGUES DIAS;Processos termodinâmicos que ocorrem em sistemas fora do equilíbrio mas em contato com um reservatório térmico podem ser analisados através do comportamento de forças aleatórias atuantes no sistema. Considerando-se o sistema imerso em um fluído (reservatório), estas forças são originárias das colisões das moléculas componentes do fluído com o sistema e geram um tipo de movimento denominado Browniano. Mesmo conhecidas as condições iniciais, a evolução do sistema sujeita à ação de forças aleatórias não é determinística, mas sim estocástica, referência [1]. A dinâmica estocástica busca analisar esse movimento fazendo uma análise estatística das forças aleatórias e com isso descrever os processos termodinâmicos que ocorrem em um sistema fora do equilíbrio, referência [2]. O objetivo do presente trabalho é fazer um estudo inicial dos métodos utilizados para descrever o movimento Browniano, como ele influencia na evolução de um sistema e entender, futuramente, as trocas energéticas entre o sistema e o reservatório por meio das leis da termodinâmica num contexto estocástico.
CCMN / Decania Bloco: F Andar: 3º Sala 004;22 Sep / SEG;09:00 às 12:00h;1261;Galáxias como ferramentas cosmológicas:alinhamento intrínseco em larga escala;"ARIANNA CORTESI; PEDRO DA SILVEIRA FERREIRA";RAFAEL OLIVEIRA RAMOS;
CCMN / Decania Bloco: F Andar: 3º Sala 004;22 Sep / SEG;09:00 às 12:00h;1295;MODIFICAÇÃO DA GRAVIDADE POR HU−SAWICKI;"GABRIELLE VASCONCELOS DE MENDONÇA PENHA; JULIA PINHEIRO CEDDIA; LUCAS DE VASCONCELLOS RODRIGUES";SERGIO E. JORAS;
CCMN / Decania Bloco: F Andar: 3º Sala 004;22 Sep / SEG;09:00 às 12:00h;1336;UMA TEORIA PARA MODIFICAÇÃO DE GRAVIDADE POR STAROBINSKY;"GABRIELLE VASCONCELOS DE MENDONÇA PENHA; JULIA PINHEIRO CEDDIA; LUCAS DE VASCONCELLOS RODRIGUES";SERGIO E. JORAS;
CCMN / Decania Bloco: F Andar: 3º Sala 004;22 Sep / SEG;09:00 às 12:00h;1442;GAMA−GRAVITY: UMA TEORIA PARA GRAVIDADE MODIFICADA;"GABRIELLE VASCONCELOS DE MENDONÇA PENHA; JULIA PINHEIRO CEDDIA; LUCAS DE VASCONCELLOS RODRIGUES";SERGIO E. JORAS;
CCMN / Decania Bloco: F Andar: 3º Sala 004;22 Sep / SEG;09:00 às 12:00h;1587;ESTRELAS COMPACTAS EM PYTHON;EDUARDO SOUZA FRAGA;GUILHERME MATRICIANO DE LIMA ZALTZMAN;
CCMN / Decania Bloco: F Andar: 3º Sala 004;22 Sep / SEG;09:00 às 12:00h;4751;Investigação das Propriedades do Espaço Anti−De Sitter;MATHEUS BUCKOWSKI LINDENBERG;NELSON BRAGA;
CCMN / Decania Bloco: F Andar: 3º Sala 005;22 Sep / SEG;09:00 às 12:00h;2358;ELABORAÇÃO DE LIVRETO SOBRE A PASSAGEM DE CHARLES FREDERICK HARTT NO TERRITÓRIO DO GEOPARQUE ASPIRANTE COSTÕES E LAGUNAS;"BEATRIZ GOMES MARTELLO; GIOVANNA NOVELLO PETRUNGARO; KATIA LEITE MANSUR";MARCELO NERY DOS SANTOS JUNIOR;
CCMN / Decania Bloco: F Andar: 3º Sala 005;22 Sep / SEG;09:00 às 12:00h;3206;A COMUNICAÇÃO COMO FERRAMENTA DE MEMORAÇÃO, CHAMARIZ, DIFUSÃO E DIÁLOGO PARA/COM A COMUNIDADE DO GPCL;GIOVANNA RIMES MATTOS DOS SANTOS;KATIA LEITE MANSUR;
CCMN / Decania Bloco: F Andar: 3º Sala 005;22 Sep / SEG;09:00 às 12:00h;3765;DESIGN PARA UMA COMUNICAÇÃO HUMANIZADA NAS REDES SOCIAIS DO GEOPARQUE ASPIRANTE COSTÕES E LAGUNAS;KATIA LEITE MANSUR;MARIANA CHERULLI DA COSTA LIMA;
