Local;Data;Horário;ID do Trabalho;Título;Autor(es);Orientador(es);Resumo
FCC - Museu Nacional - Biblioteca Bloco: Andar: Auditório;22 Sep / SEG;13:30 às 15:30h;803;Protocolos de coleta botânica para a arqueologia;"LEONARDO WAISMAN DE AZEVEDO; PEDRO GLÉCIO COSTA LIMA; RITA SCHEEL-YBERT; TAíS CRISTINA JACINTO PINHEIRO CAPUCHO";YARI SCHEEL-YBERT;Na arqueobotânica, é essencial possuir material de comparação moderno para a identificação de amostras (Scheel-Ybert et al., 2006). Para obter esse material é necessário realizar coletas botânicas, seguindo protocolos adequados para sua boa preservação e identificação. Para quem não tem formação em botânica, tais protocolos podem ser de difícil compreensão. Já existem materiais produzidos sobre o tema, como o manual de Sylvestre e Rosa (2002), porém são poucos e há uma carência de material produzido para quem vem de outra área. No intuito de sanar tal carência, está sendo produzido um capítulo de coletas botânicas para um livro de protocolos de arqueobotânica. O capítulo, intitulado “Trabalho de campo (coletas botânicas e dados ecológicos)” busca apresentar de forma clara os protocolos de coleta de materiais de referência para um público da arqueobotânica, que pode ou não ter formação em botânica. Para isso, buscou-se referências de trabalhos já publicados e utilizou-se aprendizados de diversas disciplinas, cursos, e experiência obtida em estágios. Detalhamos formas de coleta de madeira, flores, frutos, sementes e folhas, bem como seu registro, tratamento para conservação e pesquisa de dados ecológicos, para alimentar coleções de antracoteca, carpoteca, amidoteca, fitoliteca, palinoteca, herbário e xiloteca. Apresentamos práticas que são conhecidas dos profissionais da área de botânica, mas que não necessariamente estão escritas de forma acessível para aqueles que têm formação em arqueologia ou em outras áreas. Esperamos que o produto desse trabalho permita que até mesmo iniciantes nessas atividades possam realizá-las de forma adequada, produzindo resultados satisfatórios. A existência de protocolos é uma forma de assegurar que os resultados de diferentes grupos de pesquisa tenham qualidade e sejam comparáveis. É importante salientar que a arqueobotânica é uma área transdisciplinar, que congrega pesquisadores com formações em ciências humanas, biológicas, exatas e da terra. Com o crescimento da transdisciplinaridade, é desejável que cada vez mais tais protocolos tenham uma linguagem acessível para quem se formou em outra área, ou em outro tempo, e não obteve informações que para quem já atua na área parecem “básicas” ou “óbvias”. Esperamos que nosso trabalho seja uma contribuição nesse sentido.
FCC - Museu Nacional - Biblioteca Bloco: Andar: Auditório;22 Sep / SEG;13:30 às 15:30h;880;AMPLIAÇÃO DE COLEÇÕES DE REFERÊNCIA ARQUEOBOTÂNICAS EM GUARATIBA, RIO DE JANEIRO, RJ;"LEONARDO WAISMAN DE AZEVEDO; MARCO TÚLIO FERREIRA DE LIMA; RITA SCHEEL-YBERT; TAíS CRISTINA JACINTO PINHEIRO CAPUCHO";YARI SCHEEL-YBERT;"A arqueobotânica é um campo que investiga vestígios vegetais associados a populações humanas passadas, como sementes, frutos, carvões, fitólitos e grãos de pólen, permitindo compreender as complexas relações dessas sociedades com o meio ambiente. No caso dos sambaquis brasileiros, ela revela que, além de práticas de pesca e coleta, essas populações manejavam plantas selvagens e domesticadas, cultivando hortas (Scheel-Ybert, 2020). Na região de Guaratiba, Zona Oeste do Rio de Janeiro, a arqueobotânica é essencial para estudar os sambaquis preservados, com potencial de destacar o manejo sustentável de recursos naturais e a domesticação da paisagem por povos que exploraram a Mata Atlântica e algumas de suas fitofisionomias, como restinga e manguezal. As coleções de referência, compostas por materiais botânicos modernos identificados, são fundamentais para identificar vestígios arqueobotânicos e paleoecológicos, especialmente em regiões de alta biodiversidade, e por isso sua manutenção e ampliação são essenciais. Visando colaborar com a expansão das coleções de referências do Museu Nacional – UFRJ, serão preparadas amostras de material botânico associado à ocupação sambaquiana, coletadas na Reserva Biológica de Guaratiba (RBG) e na Área de Proteção Ambiental das Brisas, localizadas na região de Guaratiba/RJ (Scheel-Ybert, 2024). Além disso, na RBG, serão realizadas novas coletas em restingas diretamente associadas aos sítios arqueológicos. O material de referência a ser trabalhado consiste em: ramos prensados e herborizados para montagem de exsicatas para herbários; madeiras para corte e carbonização, correspondendo respectivamente a amostras de xiloteca e antracoteca; ramos e folhas para fitoliteca; e frutos e sementes para carpoteca. Durante a coleta, são feitas anotações sobre o ambiente da planta, hábito, cor das folhas, frutos e flores, entre outros. Também são coletados dados ecológicos relacionados ao material, a partir de revisão bibliográfica. Os ramos férteis coletados serão prensados e herborizados. Após secagem do material em estufa, serão feitas exsicatas seguindo a metodologia do guia prático: Coleta de Material Botânico (Freitas et al., 2021). Depois de prontas, as exsicatas serão depositadas no Herbário do Museu Nacional (R) e informatizadas no sistema de gerenciamento de coleções científicas JABOT. As madeiras serão cortadas, e parte delas será carbonizada em forno mufla. As demais amostras serão apenas secas em estufa e acondicionadas. Com este trabalho, almejamos enriquecer as coleções de referência com exemplares de plantas coletadas nos sítios arqueológicos, esperando obter novas perspectivas sobre a importância da vegetação nativa e da paisagem natural no desenvolvimento cultural dessas populações que habitaram a região de Guaratiba."
FCC - Museu Nacional - Biblioteca Bloco: Andar: Auditório;22 Sep / SEG;13:30 às 15:30h;966;ANATOMIA DO CARVÃO DE CLUSIACEAE DA ANTRACOTECA DO MUSEU NACIONAL, UFRJ AUTORES E ORIENTADORES: ADALBERTO NEVES CAMPOS LIMA,LEONARDO WAISMAN DE AZEVEDO,RITA SCHEEL-YBERT,TAíS CRISTINA JACINTO PINHEIRO CAPUCHO TRABALHO: 1110 TITULO: SELEÇÃO DE AMOSTRAS DE CARVÃO PARA DATAÇÃO RADIOCARBONO: A IMPORTÂNCIA DA IDENTIFICAÇÃO ANTRACOLÓGICA;"JULIO CÉSAR DE SÁ; LEONARDO WAISMAN DE AZEVEDO; MAYARA ROSA MARTINS LIMA; RITA SCHEEL-YBERT";TAíS CRISTINA JACINTO PINHEIRO CAPUCHO;"As coleções de referência são uma das bases essenciais para a arqueobotânica. Em antracologia, é por meio de descrições anatômicas encontradas nos bancos de dados e nas coleções de referência que é possível identificar a espécie que deu origem ao carvão arqueológico e posteriormente inferir dados culturais e paleoambientais. Essas coleções contém amostras de carvões modernos coletados em regiões associadas aos sítios estudados, sendo fundamentais para possibilitar que fragmentos desconhecidos recuperados de contexto arqueológico ganhem sentido a partir da comparação de sua anatomia (Capucho et al. 2024). O presente trabalho visa contribuir para a descrição das amostras da Antracoteca (coleção de referência de carvões) do Laboratório de Arqueobotânica e Paisagem do Museu Nacional (LAP/MN) com a descrição de três espécies de Clusiaceae que ocorrem em território brasileiro: Garcinia brasiliensis Mart. (Bacupari), Symphonia globulifera L.f. (Guanandi, Anani), Tovomita fructipendula (Ruiz & Pav) Cambess. (Mangue-da- mata). Todas essas espécies são típicas da Mata Atlântica, podendo ocorrer também na Amazônia (S. globulifera, T. fructipendula) e no cerrado (S. globulifera); G. brasiliensis é particularmente frequente em ambientes de restinga. G. brasiliensis e S. globulifera possuem frutos comestíveis, sendo o Bacupari inclusive cultivado em pomares Brasil afora. Como a estrutura celular do lenho se preserva perfeitamente após carbonização, as descrições dos carvões são feitas a partir da anatomia da madeira. Os fragmentos de carvão são quebrados manualmente seguindo os três planos fundamentais e observados em microscópio óptico de luz refletida com campo claro e campo escuro. A anatomia do lenho da família Clusiaceae se caracteriza por vasos difusos, dispersos ou em linhas radiais, solitários e múltiplos, com placas de perfuração simples; parênquima axial paratraqueal aliforme; raios subhomogêneos ou heterogêneos, em geral 2 a 4 seriados, mas algumas vezes unisseriados, como no caso de Symphonia . Tovomita pode apresentar corpos silicosos (Détienne e Jacquet, 1983). Garcinia se caracteriza por apresentar canais radiais; em G. brasiliensis observou-se abundante areia cristalina. Este processo descritivo das amostras carbonizadas atuais, aqui apresentado, é um trabalho de base que viabiliza a Antracoteca e promove a otimização do trabalho comparativo e a fiabilidade da interpretação paleoetnobotânica."
FCC - Museu Nacional - Biblioteca Bloco: Andar: Auditório;22 Sep / SEG;13:30 às 15:30h;1323;Observação e descrição de arqueofácies na estratigrafia de sambaquis de Guaratiba, antes e após a flotação;"LEONARDO WAISMAN DE AZEVEDO; RITA SCHEEL-YBERT; TAíS CRISTINA JACINTO PINHEIRO CAPUCHO";VLADSON ALVES NOGUEIRA;"Os sambaquis constituem alguns dos sítios arqueológicos mais estudados no Brasil, sobretudo nas regiões Sul e Sudeste (apesar de sua ocorrência se estender ao Norte e Nordeste). Tratam-se de monumentos funerários e espaços cerimoniais dos povos sambaquianos, de quem as pesquisas arqueológicas buscam compreender os costumes (SCHEEL-YBERT et al., 2023). A região de Guaratiba, situada na Zona Oeste do município do Rio de Janeiro, configura-se como um exemplo relevante de área de estudo de sambaquis no Sudeste, concentrando diversos sítios bem preservados que foram alvo de múltiplas campanhas arqueológicas nos anos 1960, 1970 e 1980 (SCHEEL-YBERT, 2025). Atualmente, o Laboratório de Arqueobotânica e Paisagem do Museu Nacional da Universidade Federal do Rio de Janeiro (LAP/MN/UFRJ) realiza pesquisas na região, no intuito de estudar esses sambaquis à luz de abordagens arqueológicas contemporâneas. Dentre essas abordagens, está a arqueobotânica. Escavações voltadas à coleta de material arqueobotânico foram realizadas em dois sítios da região (Piteiras e Araçatiba), a partir de colunas zooantracológicas. Essa metodologia consiste na escavação de áreas de 1m² com coleta total dos sedimentos das diferentes arqueofácies identificadas na estratigrafia dos sítios, do topo à base (SCHEEL- YBERT, 2013). Durante a escavação são observadas e descritas as características físicas e a composição de cada arqueofácies. Posteriormente, em laboratório, emprega-se a técnica de flotação em todas as amostras de coleta total (SCHEEL-YBERT, 2013). Ao longo da flotação parte da matriz sedimentar é removida, de forma que se pode observar com mais clareza elementos constitutivos de cada arqueofácies. Nessa pesquisa, pretendemos: realizar a flotação das amostras do sítio Araçatiba; observar e descrever as características físicas e a composição das arqueofácies flotadas; e comparar as descrições das amostras no momento das coletas com as das amostras flotadas. A composição dos sedimentos de Guaratiba impõe desafios à definição precisa das unidades arqueológicas, exigindo análises estratigráficas minuciosas para avaliar a diversidade composicional das camadas arqueológicas. Supõe-se que, após a flotação, seja possível visualizar com maior clareza os diferentes componentes de cada camada dos sambaquis, e, por conseguinte, sugerir especificidades de momentos da construção dos sítios. As próximas etapas do projeto envolvem a continuidade da flotação e a sistematização das características observadas no material arqueológico, com o objetivo de coordenar as informações e analisar eventuais transformações ou variações na frequência de componentes das arqueofácies antes e após a flotação. Dessa forma, espera-se contribuir para a compreensão dos processos construtivos dos sambaquis da região."
FCC - Museu Nacional - Biblioteca Bloco: Andar: Auditório;22 Sep / SEG;13:30 às 15:30h;1652;IMPACTOS TECNOLÓGICOS DA PRODUÇÃO CERÂMICA NO RIO DE JANEIRO DO SÉCULO XVII: UMA ANÁLISE DOS ARTEFATOS DO SÍTIO ESTAÇÃO RÁDIO DA MARINHA (ILHA DO GOVERNADOR, RJ);MARCOS ANDRÉ TORRES DE SOUZA;MARIA VICTÓRIA VALERIOLETE BANDEIRA DÁRIO;"Esta apresentação visa aprofundar os resultados de uma pesquisa de Iniciação Científica em andamento no âmbito do ""Projeto Ilha do Governador"", coordenado pelo Dr. Marcos André Torres de Souza e conduzido no Laboratório de Arqueologia Histórica (LAH) do Museu Nacional, UFRJ. O estudo tem como foco os artefatos cerâmicos encontrados no sítio arqueológico Estação Rádio da Marinha, um assentamento rural do início do século XVII com forte presença de grupos indígenas escravizados. Foram esses indígenas os ceramistas responsáveis pela produção dos artefatos analisados, cujas escolhas tecnológicas são o foco desta pesquisa. Dando continuidade à análise tecnológica dos artefatos cerâmicos provenientes deste contexto, o objetivo central deste trabalho é discutir, com base em pesquisas experimentais e etnoarqueológicas, os efeitos das suas escolhas tecnológicas no uso, resistência e função dos utensílios cerâmicos que confeccionavam, fossem eles positivos ou negativos. A metodologia adotada tem como base as obras de referência clássicas de Rice (1987), Shepard (1956) e Orton et al. (1993), bem como trabalhos focados em experimentações e observações etnográficas, como Crown (2007), Gosselain (1992) e Rye (1981), o que possibilitará compreensões sobre essas escolhas tecnológicas e suas consequências práticas. Especificamente, serão discutidos a seleção e escolha de antiplásticos, tipos de queima e técnica de manufatura. Por meio desse estudo, espera-se obter mais elementos para uma leitura aprofundada da agência dos ceramistas indígenas dentro de um contexto sociocultural específico, onde viviam sob o regime da escravidão. Espera-se com esta pesquisa não apenas ampliar nosso entendimento acerca das escolhas tecnológicas dos indígenas no universo colonial, mas também das condições sociais e culturais onde viviam, e como sua capacidade para tomar decisões e fazer escolhas podem ter sido afetadas em tal contexto."
FCC - Museu Nacional - Biblioteca Bloco: Andar: Auditório;22 Sep / SEG;13:30 às 15:30h;744;ARTE E ARQUEOLOGIA: UMA CONTRIBUIÇÃO PARA O CAMPO EDUCACIONAL.;"ALANIS SARAH DA SILVA RIBEIRO; LEONARDO WAISMAN DE AZEVEDO; RITA SCHEEL-YBERT";TAíS CRISTINA JACINTO PINHEIRO CAPUCHO;"A ação de extensão ""Arqueologia Brasileira para professores: ciência, transdisciplinaridade e práticas de ensino"" (Azevedo, 2024) tem como objetivo a disseminação da arqueologia no ensino escolar através da formação de profissonais da educação. Durante os cursos, professores e professoras relataram obstáculos para que esse conhecimento fosse devidamente introduzido em sala de aula, considerando a falta de material didático uma das maiores dificuldades. Com a intenção de mudar essa realidade, nosso propósito é criar ilustrações de diversos contextos arqueológicos, utilizando técnicas de desenho digital e gravuras baseadas em detalhes de cada ilustração. As obras devem representar o cotidiano de povos indígenas do passado. As ilustrações estão sendo produzidas pela extensionista Alanis Ribeiro a partir de leituras e aulas sobre arqueologia brasileira. A ilustração digital é a criação de imagens utilizando ferramentas como tablets, computadores e softwares gráficos, e a litogravura é uma tecnica de impressão em que se desenha com tintas gordurosas (crayon, tusche, lápis litográfico) sobre uma pedra ou placa metálica, explorando a resulsão entre água e gordura para transferir a imagem ao papel (Pedrosa, 2024). Até o momento foi produzida uma ilustração digital sobre os ceramistas indígenas antepassados dos Tupi-Guarani, e gravuras representando vestígios arqueobotânicos presentes nessa ilustração. Pretende-se, agora, produzir uma ilustração representando indígenas em atividade culinária, e gravuras relacionadas a ela. Espera-se que, ao final do desenvolvimento do projeto, as ilustrações e gravuras desenvolvidas possam ser utilizadas em sala de aula, contribuindo para a produção de materiais didáticos e despertando o interesse dos alunos."
FCC - Museu Nacional - Biblioteca Bloco: Andar: Auditório;22 Sep / SEG;13:30 às 15:30h;767;ARTE AMERÍNDIA: TRAÇANDO DIÁLOGOS ENTRE ARQUEOLOGIA E ARTE−EDUCAÇÃO AUTORES E ORIENTADORES: JULIA ACACIO DA SILVA,LEONARDO WAISMAN DE AZEVEDO,RITA SCHEEL-YBERT,TAíS CRISTINA JACINTO PINHEIRO CAPUCHO TRABALHO: 2098 TITULO: USO E APLICAÇÃO DO SENSORIAMENTO REMOTO NA PROSPECÇÃO DE SÍTIOS ARQUEOLÓGICOS NA REBIO GUARATIBA, RIO DE JANEIRO, RJ.;"ANA LUIZA CARMO DA TRINDADE MARCIANO; LEONARDO WAISMAN DE AZEVEDO; RITA SCHEEL-YBERT";TAíS CRISTINA JACINTO PINHEIRO CAPUCHO;"O presente trabalho busca relacionar conhecimentos arqueológicos sobre a cultura de povos ameríndios e Arte-Educação, a fim de tornar acessível os saberes das tradições artísticas desses povos através da disciplina de Artes Visuais para o ensino básico. Para isso, estamos desenvolvendo um material didático para professores, na forma de uma apostila com temas sobre arte ameríndia. Até o momento, os temas propostos são: Cerâmicas, Grafismos e Tintas naturais. O material didático sobre as Cerâmicas já está sendo produzido e os outros ainda serão desenvolvidos. Cada tema terá um plano de aula anexado que servirá de demonstração do que pode ser realizado em sala de aula a partir do conhecimento arqueológico, e também será relacionado a um conjunto de habilidades da Base Nacional Comum Curricular (BRASIL, 2018). Reconhecemos que o ensino sobre a arte ameríndia tem o potencial de ampliar o repertório cultural dos alunos, promover a valorização da arte e da diversidade cultural; e também de desenvolver capacidade crítica, permitindo analisar a realidade e interpretá-la (BARBOSA, 2020). Esperamos que o material seja acessado por professores do ensino básico e, como consequência, que o conhecimento seja viabilizado para seus alunos. Dessa maneira, acreditamos que será possível compartilhar conhecimentos arqueológicos para além do meio acadêmico, abordar a diversidade histórica e cultural do Brasil, assim como incentivar uma arte-educação plural, que foge de uma perspectiva que generaliza os povos ameríndios (AZEVEDO, 2024)."
FCC - Museu Nacional - Biblioteca Bloco: Andar: Auditório;22 Sep / SEG;13:30 às 15:30h;3106;ENRIQUECIMENTO DO SISTEMA ANTHRAKOS COMO CONTRIBUIÇÃO À ARQUEOBOTÂNICA BRASILEIRA;"LEONARDO WAISMAN DE AZEVEDO; MILENA BORLINI NOGUEIRA; RITA SCHEEL-YBERT";TAíS CRISTINA JACINTO PINHEIRO CAPUCHO;A Arqueobotânica, que une ciências naturais e sociais, evoluiu de técnicas de identificação taxonômica para se firmar como especialidade arqueológica relevante, contribuindo para o estudo das relações entre seres humanos e o ambiente vegetal (ARCHILA et al., 2008). A Antracologia, ramo da Arqueobotânica, utiliza a anatomia do lenho para identificar carvões vegetais e reconstituir aspectos ambientais e culturais do passado, mas enfrenta desafios nos trópicos devido à alta diversidade vegetal e à escassez de dados sobre madeiras nativas. As antracotecas são essenciais para comparar amostras modernas e arqueológicas, auxiliando na identificação e análise paleoetnobotânica (SCHEEL-YBERT, 2016). Com o crescimento dessas coleções, surgiu a necessidade de sistematização. Assim, criou-se o primeiro Atlas Antracológico do Brasil e, desenvolvido pelo Laboratório de Arqueobotânica e Paisagem do Museu Nacional (LAP/MN) como sua continuidade aprimorada, o sistema Anthrakos, que organiza dados e permite buscas específicas e compartilhamento controlado. O Anthrakos é um sistema de identificação taxonômica baseado na anatomia do lenho, criado para a Antracologia, mas também aplicável ao estudo de lenho não carbonizado. Atualmente, reúne dados anatômicos, ecológicos e sobre o uso das espécies, antes não documentados. Após o incêndio que atingiu o Museu Nacional em 2018, causando a perda de grande parte da antracoteca do LAP/MN e de materiais de pesquisa, ficou ainda mais evidente a urgência em digitalizar e proteger os dados. A antracoteca, parcialmente preservada, está atualmente em processo de reconstrução. Além disso, todas as descrições anatômicas das amostras perdidas estão preservadas nos bancos de dados do sistema atual, pois foi possível importar os dados dos sistemas anteriores. No entanto, dados mais recentes relativos a descrições mais detalhadas dessas espécies, incluindo publicações realizadas desde 2017, ainda não estavam disponíveis no sistema. Sendo assim, o objetivo do presente trabalho é realizar a revisão e ampliação do banco de dados do sistema Anthrakos, trazendo maior fiabilidade aos dados armazenados e assim tornando-o mais acessível para a comunidade científica. Para isso, as informações anatômicas, ecológicas e etnobotânicas do banco de dados serão revisadas por meio da comparação com as informações contidas no Atlas Antracológico de Espécies Brasileiras (SCHEEL-YBERT & GONÇALVES, 2017), que apresenta descrições e informações mais detalhadas para as mesmas espécies, assim como em outras publicações. Espera-se como resultado a preservação dos dados e o aprimoramento nas análises com base no sistema de identificação de amostras arqueológicas, auxiliando nas interpretações e identificações em estudos antracológicos. Ademais, visamos proporcionar melhores dados para comparações no âmbito da antracoteca virtual, impulsionando o conhecimento científico e promovendo avanços não só para a Antracologia, mas também para áreas interdisciplinares.
FCC - Museu Nacional - Biblioteca Bloco: Andar: Auditório;22 Sep / SEG;13:30 às 15:30h;3780;EXPLORANDO VESTÍGIOS INVISÍVEIS: A MICROARQUEOBOTÂNICA NA COMPREENSÃO DAS POPULAÇÕES HISTÓRICAS DA ILHA DO GOVERNADOR (RJ);"ANGELA MARIA GONÇALVES BUARQUE; CELIA HELENA CEZAR BOYADJIAN; MARCOS ANDRÉ TORRES DE SOUZA";VERÔNICA VENANCIO PIRES PARRACHO;A microarqueobotânica oferece uma perspectiva singular para a arqueologia na compreensão dos usos de espécies botânicas pelas populações passadas (Boyadjian et al., 2019). No Brasil, os estudos direcionados a área são ainda restritos, principalmente sua aplicação a períodos históricos, que contrasta com a predominância das análises em contextos pré-coloniais. Essa incipiência, por outro lado, confere ao presente trabalho a oportunidade de explorar aspectos pouco desenvolvidos desse campo de estudo. A pesquisa objetiva a recuperação de microvestígios botânicos, especialmente grãos de amido e fitólitos, que estejam aderidos à superfície de artefatos cerâmicos, com o intuito de investigar o uso e consumo de plantas pelos grupos que os utilizaram. Serão analisados artefatos provenientes das escavações realizadas no Sítio Aldeia Tupi da Estação Rádio da Marinha, inserido no projeto Ilha do Governador (Souza & Buarque, 2019). A primeira etapa da pesquisa, que está em andamento, consiste no levantamento de espécies botânicas exploradas, fundamentado em relatos de cronistas e autores dos séculos XVI ao XVIII. Esse levantamento servirá de apoio para a criação de um catálogo dessas espécies com imagens e descrições dos grãos de amido e fitólitos com base em pesquisas microbotânicas prévias. A segunda etapa, que será realizada em breve, consiste em uma análise microarqueobotânica preliminar de quatro fragmentos de cerâmica visando verificar seu potencial informativo por meio da detecção de presença e ausência das espécies botânicas referenciadas. Para a recuperação dos microvestígios será implementado um protocolo de amostragem pontual, usando como base o trabalho Capucho et al.(2025). Este procedimento consiste na aplicação de água ultrapura em áreas selecionadas dos objetos, seguida da sua agitação com uma agulha estéril para liberar microvestígios aderidos em fendas ou depressões. Então, 20 µl da solução são aspiradas com uma pipeta e transferidos diretamente para lâminas de microscopia com 20 µl de glicerol (25%). A amostra é coberta com lamínula, selada com esmalte incolor e analisada sob microscópio óptico com filtro de luz polarizada. Desse modo, a presente pesquisa pretende colaborar com o projeto Ilha do Governador e contribuir com informações sobre os usos de plantas pelas populações históricas que habitaram a Ilha do Governador.
FCC - Museu Nacional - Biblioteca Bloco: Andar: Auditório;22 Sep / SEG;13:30 às 15:30h;4109;Estudo dos remanescentes humanos encontrados no Sambaqui de Araçatiba;"LEONARDO WAISMAN DE AZEVEDO; MURILO BASTOS; RITA SCHEEL-YBERT; SOFIA CARVALHO DE LIMA";TAíS CRISTINA JACINTO PINHEIRO CAPUCHO;O estudo arqueológico de sambaquis possibilita levantar informações relevantes sobre o modo de vida e uso do ambiente por grupos humanos que ocuparam o território brasileiro, em especial a região litorânea do país. Em agosto de 2024 foi realizada escavação para produção de coluna zooantrocológica no Sambaqui de Araçatiba, localizado em Guaratiba, zona oeste da cidade do Rio de Janeiro. Durante as prospecções foram encontrados fragmentos de ossos potencialmente humanos em uma sondagem a 90 cm do topo da área de escavação, em uma camada aparentemente estéril de matriz arenosa. A escavação do local onde foram encontrados os ossos indicou que estes estavam agrupados dentro de uma área com sedimento mais escuro, com formato orbicular, que foi identificada em campo como feição nr 5. A característica curiosa desta feição, bem como a materialidade de seu conteúdo, motivaram a presente pesquisa, cujo objetivo é obter dados bioarqueológicos a partir dos fragmentos ósseos encontrados, bem como buscar compreender o contexto da feição escavada através de uma revisão bibliográfica sobre sepultamentos em contexto de sambaquis no Estado do Rio de Janeiro. O presente estudo seguiu uma abordagem sistemática para o tratamento e análise do material. Inicialmente, foi realizada uma triagem geral dos vestígios obtidos da feição, com a identificação de todos os elementos de origem humana e sua separação do material faunístico, com base em critérios morfológicos. Os remanescentes humanos apresentavam-se em estado avançado de fragmentação, o que exigiu cuidado durante o manuseio das peças. A limpeza dos fragmentos foi realizada com pincéis de cerdas macias, de forma a remover sedimentos superficiais sem comprometer a integridade dos ossos. Após a limpeza, os fragmentos foram organizados em duas categorias: ossos facilmente identificáveis e ossos dificilmente identificáveis, com o objetivo de otimizar a identificação anatômica. Ainda nesta etapa foi possível realizar a junção com cola PVA de diversos fragmentos ósseos. Esta etapa foi conduzida com o auxílio da obra The Human Bone Manual (White & Folkens, 2005). Neste momento, os materiais encontram-se organizados e preparados para as próximas etapas da pesquisa. Estão previstas a realização de análises bioantropológicas, que incluirão a estimativa do Número Mínimo de Indivíduos (NMI), bem como a avaliação do potencial para determinação de sexo e faixa etária. Posteriormente, será feita uma investigação sobre características, como patologias, fraturas em vida, entre outras possíveis alterações ósseas de interesse bioarqueológico. As análises seguirão os procedimentos descritos por Mays (2010). Após estas análises, os resultados serão discutidos à luz da produção bibliográfica sobre práticas funerárias de sambaquis, em especial os localizados no estado do Rio de Janeiro.
