Local;Data;Horário;ID do Trabalho;Título;Autor(es);Orientador(es);Resumo
Faculdade Nacional de Direito Bloco: --- Andar: Auditório Alfredo Valladão;22 Sep / SEG;09:00 às 12:00h;1187;UMA ANÁLISE INSTITUCIONAL SOBRE A UTILIZAÇÃO DE DADOS DA AGÊNCIA NACIONAL DE ÁGUAS NO DESENVOLVIMENTO DE POLÍTICAS PUBLICAS;CARLOS BOLONHA;PEDRO HENRIQUE COSTA CARVALHO DA SILVA;"Em meio ao contexto brasileiro de descentralização administrativa e sucessivas privatizações que reforçaram o papel das agências reguladoras, este estudo examina como a Agência Nacional de Águas (ANA) lida com o manejo de seus dados para embasar políticas públicas de gestão dos recursos hídricos; o objeto de investigação é o uso institucional desses dados pela ANA na elaboração e aprimoramento dessas políticas, a questão-problema norteadora é: como a ANA utiliza os dados coletados para desenvolver políticas públicas eficazes de recursos hídricos?; para responder, fundamenta-se na teoria da captura regulatória de Stigler, que permite avaliar até que ponto interesses privados podem influenciar a interpretação e o emprego dos dados. A metodologia combina abordagem qualitativa com análise documental das agendas regulatórias de 2019 a 2025, revisão bibliográfica e estudo de normas correlatas. A partir dessa metodologia, conclui-se que, apesar dos sistemas tecnológicos avançados e das práticas de transparência, existem lacunas na incorporação sistemática das evidências na tomada de decisão, o que indica a necessidade de fortalecer mecanismos que integrem produção de dados, participação social e formulação de políticas para assegurar maior eficiência, em defesa do interesse público."
Faculdade Nacional de Direito Bloco: --- Andar: Auditório Alfredo Valladão;22 Sep / SEG;09:00 às 12:00h;2942;O Supremo Tribunal Federal e a Legalidade Autoritária na Ditadura Militar: uma análise do Recurso Criminal 1.342/SP;CARLOS BOLONHA;DANIEL ANUNCIAÇÃO;"A história do constitucionalismo brasileiro perpassa diversos momentos políticos e, em cada um deles, há de se falar em uma ordem constitucional, comumente dividida entre estados de normalidade e exceção, que, a depender do momento histórico, transforma o paradigma constitucional de um país e, por conseguinte, a agenda das instituições públicas, as quais deverão adequar-se ou submeter-se à pauta do governo vigente. Ao falar de uma ordem de normalidade, entende-se a vigência de um Estado de Direito, garantista por excelência, cujas maiores preocupações giram em torno de evitar arbítrios provenientes da expansão do poder político e em positivar os direitos fundamentais da população. Todavia, sob a vigência de uma ordem de exceção, especialmente no que tange às ditaduras sul-americanas, há de se considerar a predominância de um Direito do Estado, cujo cerne encontra-se nos processos de consenso, cooperação e integração entre as elites militares e todo o sistema de justiça, tendo em vista o seu modus operandi. Há quem defenda que o Judiciário brasileiro, em meio a esse processo de consenso e integração, tornou-se meramente cúmplice diante dos desmandos dos poderes políticos e econômicos, pecando muito mais por omissão do que por uma postura propriamente ativa. A literatura especializada, por outro lado, sustenta que, em casos como o da ditadura militar brasileira, o poder judicante foi, gradualmente, transformado e utilizado como ferramenta de legitimidade para a manutenção de um regime antidemocrático. A esse fenômeno deu-se o nome de legalidade autoritária. Para os fins do presente estudo, analisar-se-á a instrumentalização das instituições judicantes, sobretudo do Supremo Tribunal Federal, durante a ditadura brasileira, a partir da análise dos discursos que envolvem o relatório e voto relator deste estudo de caso, com o objetivo de responder a seguinte questão-problema: como o STF contribuiu, seja ativa ou passivamente, para a legalidade autoritária do regime? Para tanto, no primeiro item será apresentada uma contextualização das principais características da legalidade autoritária no contexto ditatorial, com base em revisão bibliográfica constante nas referências desta pesquisa. Em seguida, abordar-se-á o papel e as funções do Poder Judiciário frente ao regime, delimitando o foco e o principal objeto do presente artigo. Por fim, apresentar-se-á a metodologia do presente estudo, bem como os filtros utilizados e responsáveis por localizar 12 casos julgados pelo Supremo Tribunal Federal; dentre estes, o Recurso Criminal 1342/SP, eleito o caso a ser analisado em virtude da quantidade de páginas constantes no inteiro teor de cada julgado, partindo do pressuposto de que um volume maior do conteúdo constante no relatório e no voto do ministro relator permite uma amostragem mais robusta para que se possa identificar os possíveis discursos judiciais compatíveis com a legalidade autoritária do regime militar."
Faculdade Nacional de Direito Bloco: --- Andar: Auditório Alfredo Valladão;22 Sep / SEG;09:00 às 12:00h;3041;A Era dos Extremos a queda do Liberalismo Clássico: um estudo a partir do caso Roe V. Wade AUTORES E ORIENTADORES: CARLOS BOLONHA,MARCELLE GENERINE CUPERTINO DA SILVA TRABALHO: 3442 TITULO: SUB−REPRESENTAÇÃO TERRITORIAL E SISTEMA PROPORCIONAL NO BRASIL: O INTERIOR FLUMINENSE NA CÂMARA DOS DEPUTADOS;CARLOS BOLONHA;GABRIEL MENDES COSTA;Ao longo dos anos, o liberalismo clássico, responsável pela expansão dos direitos individuais ao redor do mundo, teve uma progressiva queda nos Estados Unidos da América, marcada pela reformulação do precedente Roe v. Wade, fato que demonstra, de maneira empírica, uma reviravolta da Era dos Extremos. Nesse contexto, levanta-se a seguinte questão: quais razões fomentaram a ruptura do liberalismo clássico e a reprimarização do direito à liberdade? O que se propõe como tese é a contraposição entre o liberalismo clássico, como propagador dos direitos individuais, tais como a liberdade, e o atual liberalismo, que se constroi a partir de um projeto de Estado que mascara a limitação da liberdade individual por meio de discursos vazios. Dessa forma, o objeto é a sociedade americana, em especial sua parcela conservadora, que vem ascendendo ao longo dos anos, somada à deturpação das ideias liberais que geram o cerceamento do direito à liberdade. A metodologia se baseia em observar os conflitos sociais e políticos até a revogação de Roe V. Wade e como essa decisão é uma reflexo da gradual mudança social vivenciada nos Estados Unidos da América. A conclusão prevista, em resposta à pergunta, é confirmar se a sociedade americana de fato chegou ao extremo do liberalismo clássico galgando o seu retorno ao conservadorismo.
Faculdade Nacional de Direito Bloco: --- Andar: Auditório Alfredo Valladão;22 Sep / SEG;09:00 às 12:00h;3919;ENTRE DESASTRES E FEDERALISMOS: UMA ANÁLISE COMPARATIVA ENTRE BRASIL E ESTADOS UNIDOS NA RESPOSTA AOS DESASTRES AMBIENTAIS;CARLOS BOLONHA;MAYCON LUCAS CORDEIRO FREITAS;Em um momento histórico em que as mudanças climáticas, anteriormente contidas no campo das previsões abstratas de organismos internacionais e multilaterais, tornaram-se constantes e materiais na vida cotidiana, levanta-se, para além das medidas de prevenção, a necessidade de os Estados responderem a esses desastres com eficiência, visando garantir os direitos fundamentais dos cidadãos, reconstruir a região afetada e proporcionar a sua retomada econômica. Demanda-se, ainda, em federações como Brasil e Estados Unidos, uma coordenação adequada entre a União e os entes federados, a fim de que haja cooperação para a supressão do desastre. Nesse sentido, a pesquisa volta-se aos conflitos e à dinâmica federativos envolvendo as medidas realizadas pelos entes federados do Brasil e dos Estados Unidos em resposta a desastres ambientais, realizando-se um estudo de caso comparativo entre o Furacão Katrina (2005), nos Estados Unidos, e as enchentes no Estado do Rio Grande do Sul (2024), no Brasil. Apresenta-se, portanto, a seguinte questão-problema nesta pesquisa: como os conflitos federativos e a dinâmica federativa afetam a resposta aos desastres ambientais no Brasil e nos Estados Unidos? O que se propõe como tese, à luz do constitucionalismo de precaução e do constitucionalismo de otimização de Adrian Vermeule e da centralização legislativa e descentralização executiva no federalismo brasileiro descrita por Marta Arretche, é a necessidade de se evitar uma excessiva concentração ou fragmentação de poder na estrutura federativa, distanciando-se assim, em um cenário de equilíbrio, de problemas dessa ordem que prejudiquem a resposta federativa ao desastre ambiental. A escolha dos Estados Unidos para o presente estudo se motiva pela referência histórica para a forma federativa de Estado, sendo o local onde ela surgiu, pela diversidade climática, que também reflete em uma diversidade de desastres ambientais, e pelo referencial jurídico-político para o Brasil, eis que ele o influenciou desde a Proclamação da República em 1889, haja vista, nesse contexto, o seu nome oficial anterior, Estados Unidos do Brasil. A metodologia baseia-se em uma pesquisa qualitativa que, a partir dos desastres ambientais selecionados, realizará um estudo de caso entre eles, no qual se comparará, principalmente por meio do método estrutural de Direito Comparado, a maneira como cada Estado respondeu ao seu respectivo desastre ambiental, voltando-se aos conflitos federativos, à dinâmica federativa e seus efeitos, discutindo-se, a partir disso, oportunidades de aprendizado recíproco, sendo esse estudo feito por meio da análise bibliográfica e documental.
Faculdade Nacional de Direito Bloco: --- Andar: Auditório Alfredo Valladão;22 Sep / SEG;09:00 às 12:00h;6542;EFICÁCIA DAS AÇÕES DE FISCALIZAÇÃO E SANÇÃO DA AUTORIDADE NACIONAL DE PROTEÇÃO DE DADOS;"CARLOS BOLONHA; DORA MAGANHOTO DONEDA";LUCAS VENANCIO AMORIM;A Autoridade Nacional de Proteção de Dados (ANPD), autarquia especial vinculada ao Ministério da Justiça e Segurança Pública, foi criada pela Lei Geral de Proteção de Dados (LGPD) para garantir o seu cumprimento. Garantia que se dá por meio de suas funções de fiscalização e aplicação de sanções em caso de infrações a essa norma. No entanto, sua atuação ainda enfrenta limitações decorrentes da recente criação, da estrutura reduzida e da complexidade da regulação de tratamento de dados. Assim, o objeto dessa pesquisa, decorrente desse contexto, é a capacidade da ANPD de exercer com eficácia seus mecanismos de fiscalização e sanção sobre agentes públicos e privados que violem a LGPD, mesmo tendo essas limitações. A questão problema é: os métodos aplicados pela ANPD têm se mostrado eficazes na reversão das situações de tratamento de dados que não estejam em conformidade com a LGPD e as demais normas que tratam do tema? Ou seja, se eles têm capacidade de corrigir as situações existentes e prevenir incidentes futuros. Se têm falhas e limitações estruturais que comprometem o papel do órgão e, se for este o caso, quais são as suas causas? Desta forma, a análise da eficácia das formas de regulação dos agentes fiscalizados é a avaliação da adequação dos métodos aplicados aos casos de acordo com o cenário jurídico, político e social do país e a capacidade institucional da ANPD. Esta pesquisa adota como marco teórico as discussões acerca da teoria da regulação e da capacidade institucional, na forma como é compreendida por Sunstein e Vermeule, ou seja, capacidade como competência estabelecida na legislação para a tomada de determinada decisão, sobretudo em casos tecnicamente complexos. Essa mesma pesquisa adota como metodologia uma abordagem qualitativa, de natureza exploratória e descritiva de normas e de casos concretos e práticas administrativas. A partir do método dedutivo, o material utilizado como base normativa será a legislação, constitucional e infraconstitucional, e resoluções e regulamentos internos da autoridade. Os processos de fiscalização e sanção analisados serão os compreendidos entre o período de criação da ANPD e o início de 2025. Além disso, serão utilizados como apoio relatórios oficiais e registros e análises extraoficiais. A expectativa, é compreender até que ponto a atuação da ANPD conseguiu ser efetiva e se os métodos utilizados são os mais adequados. Considerando que se trata de um órgão regulador recente e ainda em processo de consolidação no cenário institucional brasileiro, o resultado esperado é que sua atuação ainda é tímida e insuficiente, mas que, com o tempo e com seu fortalecimento, possa desenvolver-se institucionalmente e exercer seu papel de forma mais efetiva.
CCJE - Aulário (Prédio dos Módulos de Aula do Campus da Praia Vermelha) Andar: 2º andar Sala 23;22 Sep / SEG;10:20 às 12:20h;24;POLUIÇÃO INVISÍVEL: UMA ANÁLISE SOBRE COMO O CONTEÚDO DO TIKTOK COMUNICA SOBRE MICROPLÁSTICOS;"GABRIEL GONCALVES BAPTISTA; MARIANNA ZATTAR";THALYSON DA ROCHA MENDONCA;Este estudo investiga as características das notícias falsas sobre microplásticos comunicadas na rede social TikTok. Adota-se uma abordagem qualitativa, elaborada no diálogo entre a Biblioteconomia e as Ciências Biológicas, para análise discursiva e de conteúdo de postagens relacionadas à poluição por microplásticos, especialmente em ecossistemas de águas doces. A partir da ecotoxicologia, examinam-se os efeitos desses poluentes em organismos aquáticos e nos possíveis riscos à saúde humana, considerando as dimensões intrínsecas, que dizem respeito ao conhecimento científico validado sobre os impactos desses resíduos nos rios, lagos e seres vivos, e extrínsecas, que envolvem os aspectos culturais, sociais e comunicacionais que moldam a forma como essas informações são entendidas e difundidas pela sociedade. Identificou-se a estratégia da dúvida como recurso recorrente na promoção do negacionismo científico. Conclui-se que a presença de desinformação ambiental em ambientes digitais, tal como o Tiktok, reforça a necessidade da promoção da competência em informação, da divulgação científica e de práticas educativas baseadas em evidências.
CCJE - Aulário (Prédio dos Módulos de Aula do Campus da Praia Vermelha) Andar: 2º andar Sala 23;22 Sep / SEG;10:20 às 12:20h;364;DESINFORMAÇÃO: UM ESTUDO À LUZ DOS IMPACTOS PSICOSSOCIAIS NA CONTEMPORANEIDADE AUTORES E ORIENTADORES: ADRIANA MORAES PESSOA DO REGO BARROS,JOAO VICTOR MAIANI PEREIRA,MARIANNA ZATTAR,MYCHELLE SOARES SILVA DOS SANTOS TRABALHO: 396 TITULO: BIBLIOTECA E CIDADANIA: UM ESTUDO A PARTIR DO TERRITÓRIO;MARIANNA ZATTAR;MYCHELLE SOARES SILVA DOS SANTOS;A desinformação, intensificada pelas redes sociais digitais e a ampliação da disseminação instantânea de informações verdadeiras ou falsas tem causado efeitos profundos na sociedade. Dentre os principais efeitos destacam-se aquelas que comprometem a confiança em instituições e agrava a polarização impedindo muitas vezes diálogos e adoecendo as pessoas impactando no bem-estar. Diferentes são os exemplos marcantes relacionados aos efeitos, tais como durante a pandemia de Covid-19 em que a Organização Mundial da Saúde alertou sobre como notícias falsas podem sabotar esforços de saúde pública da prevenção até o tratamento de diferentes patologias. No âmbito das relações psicossociais, a desinformação gera medo, ansiedade e desconfiança, impactando sobremaneira a saúde mental. O consumo contínuo de informações enganosas, exacerbado por algoritmos que amplificam conteúdos sensacionalistas, isola indivíduos em bolhas informacionais, reduzindo o senso de pertencimento e fortalecendo divisões sociais, aumentando a sindemia. Para mitigar tais efeitos, instituições como a Organização das Nações Unidas para a Educação, a Ciência e a Cultura (UNESCO) e da Organização das Nações Unidas (ONU) recomendam ações integradas sobre educação em informação, além de regular a atuação das plataformas digitais e fortalecer mídias independentes. Espera-se que com essas iniciativas os princípios de direitos humanos sejam possibilitados e os danos psicossociais diminuídos. Assim sendo, este estudo tem como objetivo elaborar uma Revisão de literatura sobre competência em informação com foco nas relações psicossociais. Para isso, fez-se uma estratégia de busca que identifica-se textos sobre a relação entre a competência em informação e as relações psicossociais em atividades teóricas e práticas de profissionais da informação. Espera-se, com isso, a apresentação de uma cartografia das ações práticas e científicas.
CCJE - Aulário (Prédio dos Módulos de Aula do Campus da Praia Vermelha) Andar: 2º andar Sala 23;22 Sep / SEG;10:20 às 12:20h;1941;Emoção e competência em informação: uma revisão bibliográfica;MARIANNA ZATTAR;RAPHAELLA TEODORO DA SILVA;No ambiente online as palavras escolhidas pelas pessoas autoras exercem um papel relacionado ao comportamento informacional dos usuários, principalmente em como buscam e compartilham a informação. Através da escolha, sintaxe e contexto em que as palavras estão inseridas, elas podem estimular sentimentos, positivos (diversão, prazer, segurança, etc.) ou negativos (raiva, ansiedade, medo, etc.)(Savolainen, 2015), sendo planejadas para induzir essas emoções ou não. Nas redes sociais online, em que os usuários podem criar, comentar e compartilhar postagens, os sentimentos podem atuar para induzir o engajamento, pois nem sempre são mediados pela razão (Bezerra, 2024). Nesse sentido, os autores de publicações que disseminam a desinformação e discursos de ódio buscam instigar os sentimentos negativos dos seus públicos para aumentar o número de visualizações e engajamento. Somado a isso, temos também a pós-verdade, que ocorre, por exemplo, quando uma postagem que confirma as crenças do usuário leitor são consideradas verdadeiras sem a verificação dos fatos. Com isso, indivíduos com emoções negativas tendem a não buscar entender o contexto de maneira holística ou a utilizar outro ponto de vista, agindo essencialmente emocionalmente. Para impedir que tais informações nocivas e mentirosas se alastrem, o desenvolvimento de habilidades a partir da promoção da competência em informação podem auxiliar na inteligência emocional e na responsabilidade social, ajudando que as pessoas possam agir com cautela no ambiente online. Deste modo, o objetivo deste trabalho é apresentar o “lugar” das emoções nos estudos e práticas da competência em informação. A metodologia é exploratória através do levantamento bibliográfico no Portal de periódicos CAPES, e nas bases Scopus, LISTA e BRAPCI, com as palavras-chave sendo “information literacy” e “emotions”. O levantamento resultou em 72 documentos, porém, foram selecionados apenas 7 artigos que constavam nas três primeiras fontes citadas anteriormente, sendo o único critério tratar sobre o tema das emoções como principal. Nos resultados encontrados percebe-se a prevalência de pesquisas feitas e publicadas em países estrangeiros, principalmente do norte global, e dentro do contexto de bibliotecas acadêmicas voltadas para seus usuários. Nesse sentido, é possível identificar a necessidade de mais pesquisas voltadas para o tema, voltada para o contexto informacional dos brasileiros, para compreender como as emoções afetam o comportamento e as práticas informacionais.
Faculdade Nacional de Direito Auditório Alfredo Valladão;22 Sep / SEG;13:00 às 14:30h;1045;DESIGUALDADE NO ACESSO À EDUCAÇÃO: CONSEQUÊNCIA PARA PROMOÇÃO DA CIDADANIA AUTORES E ORIENTADORES: ANA CAROLINA ALVES COSTA,EDUARDO RIBEIRO MOREIRA,KATLHYN CARLA CORDEIRO SANTOS TRABALHO: 3603 TITULO: AGÊNCIAS REGULADORAS NO BRASIL: AGÊNCIA NACIONAL DE TELECOMUNICAÇÕES E O TRATAMENTO INFORMACIONAL A PARTIR DA GESTÃO DE DADOS;ANA LUISA FERREIRA VITAL;CARLOS BOLONHA;A educação, reconhecida pela Constituição Federal como um direito social essencial, constitui um pilar para construção de uma sociedade justa e igualitária e orienta o funcionamento do Estado Democrático de Direito. Nesse contexto, evidencia-se que esse direito desempenha um papel essencial na promoção da cidadania, dada a sua fundamentalidade na formação do pensamento crítico, gerando assim indivíduos conscientes e preparados para interagir com a sociedade e impulsionar transformações sociais relevantes para o desenvolvimento humano. No entanto, a persistência da desigualdade estrutural no Brasil compromete o acesso equitativo à educação, perpetuando ciclos de exclusão social e limitando as possibilidades de ascensão educacional, econômica e política de parcelas historicamente marginalizadas da população. Diante disso, este projeto de pesquisa possui como objetivo analisar como a desigualdade no acesso à educação contribui para a manutenção dessas estruturas sociais desiguais e afeta diretamente a efetivação da cidadania no país. Para tanto, será realizado um levantamento histórico, com base em métodos de análise bibliográfica e estatística. A partir dos dados coletados, busca-se compreender as causas e consequências dessa desigualdade, bem como apontar caminhos teóricos e práticos que possam contribuir para a superação dessas desigualdades no contexto educacional brasileiro. No cenário contemporâneo, há um papel central da educação no desenvolvimento econômico, social e politicamente de uma nação. A educação é essencial para o desenvolvimento humano e a consolidação da cidadania e da democracia. Países mais desenvolvidos consideram a educação como uma prioridade, investindo nela como meio de promover a inclusão social e econômica de sua população. No Brasil, a Constituição Federal de 1988 reconhece a educação como um direito social fundamental e um dever estatal e estabelece, em seu artigo 208, as diretrizes para a garantia desse direito, determinando que o Estado tem o dever de assegurar a educação básica obrigatória e gratuita: “O dever do Estado com a educação será efetivado mediante a garantia de: I - educação básica obrigatória e gratuita dos 4 (quatro) aos 17 (dezessete) anos de idade, assegurada inclusive sua oferta gratuita para todos os que a ela não tiveram acesso na idade própria (…)” (BRASIL,1988) A abordagem trabalhará a cidadania na compreensão jurídica multidimensional e o impacto educacional na desigualdade. Esta pesquisa mostra-se relevante ao analisar como a desigualdade estrutural, manifestada na oferta desigual de educação de qualidade, constitui um obstáculo ao exercício efetivo da cidadania política. Esse debate sobre esse direito fundamental permite refletir acerca da sua evolução histórica e social, efetividade, garantia e proteção, relacionando-o à fragilização da cidadania participativa e como fator para fortalecimento da hegemonia de classes dominantes.
Faculdade Nacional de Direito Auditório Alfredo Valladão;22 Sep / SEG;13:00 às 14:30h;6033;O IMPACTO DAS PRODUÇÕES INTELECTUAIS BRASILEIRAS NOS DIREITOS FUNDAMENTAIS AUTORES E ORIENTADORES: CARLOS BOLONHA,ISABELA SODRÉ TAVARES,PEDRO DINIZ CARVALHO TRABALHO: 6089 TITULO: A crise dos jogos de azar online no Brasil: uma perspectiva das ações e decisões do STF perante a prática dessa modalidade.;CARLOS BOLONHA;ISABELA FROTTé;Observou-se, durante a Ditadura Militar, uma intensa reestruturação do maquinário estatal, o que possibilitou o sufocamento categórico de direitos fundamentais, em especial do modo no qual os entendemos contemporaneamente. Dessa forma, surgiram uma gama de produções intelectuais - sejam elas audiovisuais, musicais, artísticas ou até mesmo jornalísticas - que exerceram função de resistência e conscientização sobre tais direitos, auxiliando a salvaguardá-los. No entanto, como questão-problema, observa-se com certa frequência, até os dias de hoje, um fenômeno de deturpação da então observada função social das produções intelectuais, ocasionando no desgaste da contemplação desses direitos, em contra-senso ao movimento observado durante a ditadura. Dessa forma, sob uma ótica constitucional contemporânea, tem-se como objeto da pesquisa a análise de como a produção intelectual brasileira influenciou na garantia ou corrosão de direitos fundamentais desde o início da ditadura militar até a atualidade. O marco teórico desta pesquisa fundamenta-se na perspectiva proposta por Norberto Bobbio em sua obra “O Futuro da Democracia”, na qual o autor pondera sobre o que seria uma democracia ideal, fornecendo instrumentos para discutir questões de pluralismo e cidadania, ao passo em que condena Estados autoritários. Observou-se metodologicamente, num panorama jurídico, o impacto das produções artístico-intelectuais do período a ser analisado, comparando a situação fática da sociedade com a matéria constitucional, ao passo em que se estudou como certas obras tornaram-se forma de resistência à opressão de direitos fundamentais, enquanto outras serviram como calibre para o desgaste destes mesmos direitos. Espera-se concluir, portanto, que apesar de na sua grande maioria as produções artístico-intelectuais representarem formas de resistência à opressão, cumprindo o seu papel social de compreensão da sociedade de forma articulada e democrática, certas obras não se abstiveram de deturpar os preceitos constitucionais, violando, de tal forma, os direitos fundamentais do cidadão brasileiro.
