Local;Data;Horário;ID do Trabalho;Título;Autor(es);Orientador(es);Resumo
CFCH / Anexo Andar: 2º Sala 02;22 Sep / SEG;13h30 às 16h00;887;Diversidade, violência de gênero e suas novas configurações, os desafios para a prevenção: a experiência das rodas de conversa do Grupo de Pesquisa e Extensão Prevenção à Violência Sexual com jovens aprendizes do Programa Social Dufry/Avolta AUTORES E ORIENTADORES: AMANDA MARINHO DA SILVA,DANIEL DE SOUZA CAMPOS,LUDMILA FONTENELE CAVALCANTI,LUISA MOTTA DE CARVALHO AZEVEDO PEREIRA TRABALHO: 1195 TITULO: A PRODUÇÃO DE VIDA EM CORPOS DISSONANTES − CARTOGRAFIA DO CUIDADO EM SAÚDE. AUTORES E ORIENTADORES: ANA LUCIA FREITAS DE ANDRADE,ANA MARIA PEREIRA BRASILIO DE ARAUJO,ELEN MARINS DOS SANTOS NEVES,MARCELLE CARVALHO QUEIROZ GRAçA,NEREIDA PALKO TRABALHO: 3952 TITULO: DIVERSIDADE COMO IMAGEM NA PUBLICIDADE DIGITAL: ESTÉTICA, REPRESENTAÇÃO E CONTROLE;ANNA MARINA. BARARÁ PINHEIRO;GIOVANNA LAUDIER ANGELO GIANNOTTI;"De acordo com Saffioti (2004), o gênero é uma construção social, histórica e cultural, que diz respeito “às representações do masculino e do feminino, estando estas interrelacionadas”, ou seja, papéis atribuídos ao homem e a mulher na sociedade foram construídos socialmente. Essa perspectiva reforça o binômio dominação e exploração, o qual justifica o patriarcado e centralidade do homem perante a mulher e a sociedade. Esse conceito de gênero nos permite desconstruir a naturalização desses papéis colocados a homens e mulheres na vida cotidiana. Ao analisarmos a relação de opressão de gênero, se faz necessário entender também a violência de gênero, que é uma forma de agressão direcionada à mulher, independentemente do ciclo etário que esteja. Todavia, hoje essa definição se amplia, tendo em vista que a “ideologia de gênero” heteronormativa é suficiente para que aquelas pessoas que não obedeçam às normativas socialmente impostas sobre gênero tornem-se potenciais vítimas dessa violência. Isso porque, em uma sociedade machista, homofóbica, transfóbica, a qualificação de violência de gênero não se limita à relação homem-mulher cis, mas atinge de forma severa corpos dissidentes e identidades não normativas. Nesse sentido, pessoas LGBTQIAPN+ enfrentam violências simbólicas, institucionais, físicas e psicológicas, muitas vezes invisibilizadas por sistemas legais, sociais e culturais heteronormativos e cisnormativos. Dados publicados pelo Observatório de mortes e Violências LGBTQIAPN+ revela que em 2023 ocorreram 230 mortes de pessoas LGBTQIAPN+ de forma violenta no país. Tal tipo de violência tem raízes históricas estruturadas por aspectos sociais e culturais que atuaram na manutenção dessas ações de violência que se renovam e se configuram de maneiras distintas, impondo um desafio para a prevenção. O objetivo do presente trabalho é analisar o impacto das atividades desenvolvidas pelos estudantes integrantes do Grupo de Pesquisa e Extensão Prevenção à Violência Sexual, com os jovens do Programa Social Dufry. Desde de 2023, foram realizados quatro encontros, cada um com uma média de 15 jovens participantes e com a duração de três horas, na sede do programa social. O conteúdo abordou questões como “o que é gênero, identidade de gênero e sexualidade”; “LGBTQIAPN+: a realidade no Brasil”; “desigualdade e violência de gênero no Brasil” e o que é “Masculinidades e feminismo no Brasil”. Os resultados ainda são prévios, mas a experiência de jovem para jovem, tem revelado que a educação permanente é uma ferramenta indispensável na luta contra os diversos tipos de violência, incluindo a violência de gênero e as suas expressões. A roda de conversa promovida pelo grupo teve como motivação a prevenção e enfrentamento a qualquer tipo de discriminação, tornando possível que a extensão universitária ultrapassasse os muros da universidade, desempenhando seu papel na desconstrução do machismo, do patriarcado e de ações abusivas que fomentam a violência nos espaços sociais."
CFCH / Anexo Andar: 2º Sala 02;22 Sep / SEG;13h30 às 16h00;4114;REFLEXÕES ÉTICAS SOBRE A ATUAÇÃO EM PSICOLOGIA EM CONTEXTOS DE APRISIONAMENTO DE MULHERES CISGÊNERO GRÁVIDAS E PUÉRPERAS;"CAIQUE AZAEL FERREIRA DA SILVA; GABRIELA MYNSSEN DE PINHO DA SILVA; LORENA SOARES DE PAIVA SILVA";PEDRO PAULO GASTALHO DE BICALHO;O sistema prisional brasileiro configura-se como espaço de violações dos direitos humanos, refletindo dinâmicas coloniais e racistas que visam à disciplinarização de corpos específicos. As prisões brasileiras, enquanto instituições que atuam na manutenção do racismo no país (Borges, 2019), apresentam uma crescente feminização de sua população encarcerada, encarceramento esse impulsionado pela Lei de Drogas (Lei 11.343/2006), com aumento de 656% no número de mulheres presas entre 2000 e 2016, com um perfil social específico: jovens, negras, de baixa escolaridade e mães, segundo dados do “Levantamento nacional de informações penitenciárias: INFOPEN Mulheres” de 2018, explicitando os alvos da criminalização da pobreza e do cuidado. Esse cenário mobiliza a produção de uma categoria, antes invisível, de “mãe encarcerada”, que tem como berço o racismo, o patriarcado e o punitivismo. Nesse contexto, o sistema penal instrumentaliza o papel da maternidade, marcado pela noção europeia de “boa mãe”, com objetivo de controle e punição dessas mulheres, que além de alvos de julgamento moral por serem mães encarceradas, frequentemente veem seus filhos sendo abandonados pelo sistema. Diante disso, o presente trabalho busca, a partir de experiências de estágio, extensão e pesquisa no Serviço de Atendimento Prévio às Pessoas Custodiadas (APEC), vinculado às audiências de custódia no sistema prisional fluminense, problematizar as práticas em Psicologia em contextos de privação de liberdade junto a mulheres cisgênero grávidas e puérperas. Esse cenário evidencia o tensionamento entre as categorias que essas mulheres podem encarnar, em um contexto em que suas subjetividades são fragmentadas: por vezes vistas como idealização do ser mãe, outras relembradas da condição desumanizadora enquanto privadas de liberdade, mas nunca em sua totalidade. A partir de uma prática implicada com a realidade e com seus processos éticos e políticos, adotamos como metodologia a cartografia (Passos e Barros, 2015) e a interseccionalidade (Collins e Bilge, 2021) que nos ajudam a tornar nossas reflexões mais intricadas, possibilitando compreender esses fenômenos por outros rumos. Enquanto espaço de disputa, o sistema prisional nos convoca a analisar nossa ocupação nesse campo, que deve tensionar os limites entre o fortalecimento de políticas públicas e ao mesmo tempo apostar em outras ferramentas que, ancoradas no Código de Ética Profissional do Psicólogo, promovam fissuras dentro desse sistema produtor de vulnerabilidades que consigam apontar para outros horizontes que não o encarceramento. Neste cenário, a Psicologia é convocada a identificar o que lhe é encomendado e o que se revela no campo enquanto demanda, sendo desafiada a se localizar entre as diferentes lógicas que ali operam: as de cuidado, que passam por compreender a insustentabilidade do sistema prisional para garantia de direitos, e as de desumanização, que culpabilizam e criminalização a vivência dessas maternidades.
CFCH / Anexo Andar: 2º Sala 02;22 Sep / SEG;13h30 às 16h00;4693;PROTAGONISMOS CRUZADOS: RELAÇÕES SOCIAIS ENTRE INDÍGENAS E FORROS NA VILA DE ÁGUA FRIA − BAHIA (1770−1790);ANA MENANDRO MACAHYBA;JOAO FRAGOSO;Na segunda metade do século XVIII, Portugal intensificou a coleta e sistematização de dados demográficos em todo o reino e territórios ultramarinos como parte de uma estratégia que visava maior centralização na gestão do Império. Dessa política surgiram os Mapas de População. Determinou-se que o Capitão-mor de cada Freguesia deveria fazer um levantamento coletando dados como o número de domicílios, os nomes, idades e a condição jurídica dos habitantes locais. Esses documentos revelam a complexidade da estrutura social do Brasil setecentista e, mais do que isso, permitem a identificação de personagens históricos tradicionalmente negligenciados nas narrativas historiográficas, como escravos, forros, cabras, pardos, indígenas e pretos. Através da perspectiva da micro história, essa pesquisa analisa a agência desses grupos que, mesmo hostilizados pela sociedade setecentista e pela grande parte dos estudos históricos posteriores, se firmaram como agentes ativos de suas próprias narrativas. Para isso, foram utilizados dois Mapas de População, produzidos em 1786, com informações das Freguesias de Água Fria e Inhambupe, ambas da Vila de Água Fria, localizada no sertão baiano. As informações obtidas nessas fontes foram cruzadas com os dados dos registros paroquiais de batismo, óbito e matrimônio da mesma localidade. Utilizou- se, ainda, o método onomástico, que busca, a partir da análise dos nomes dos indivíduos presentes nas fontes, reconstruir trajetórias e redes sociais. A partir desse método, identificou-se a expressiva presença de dois grupos sociais específicos: pretos e pardos livres ou forros — reunidos aqui sob a designação 'forros' — e índios e moradores de aldeias, agrupados sob o termo 'indígenas'. Um exemplo emblemático é o de uma aldeia liderada por um indígena com o título de capitão, vinculada a um domicílio chefiado por uma família de pretos forros. Essa configuração revela indícios concretos de relações sociais complexas e possíveis alianças entre grupos historicamente subalternizados. Essas e outras conexões motivaram o objetivo desta pesquisa: investigar o estabelecimento de relações sociais entre indígenas e forros da região e como elas poderiam visar o alcance da mobilidade social em um contexto que era hostil de formas distintas para ambos os grupos. Os próximos passos da investigação envolvem um aprofundamento em relação às narrativas desses sujeitos para melhor entender a sua participação nas esferas social e econômica da região em questão.
CFCH / Anexo Andar: 2º Sala 02;22 Sep / SEG;13h30 às 16h00;6065;UMA EXPLOSÃO FEMINISTA DE CITAÇÕES? EXPERIMENTOS A PARTIR DA BASE SCIELO−BRASIL AUTORES E ORIENTADORES: ANTONIO DA SILVEIRA BRASIL JUNIOR,GABRIEL MEIHOUB BERLANDI,JULIANA LAGE ZAMBONI,NATHALIA RONCHETE BORGES CERREIA TRABALHO: 6199 TITULO: JOVENS LGBTQIAP+ EM ACOLHIMENTOS INSTITUCIONAIS: ATRAVESSAMENTOS DE IDENTIDADE DE GÊNERO E SEXUALIDADE EM APLICAÇÕES DE MEDIDAS PROTETIVAS;"FERNANDA BOTTARI LOBãO DOS SANTOS; FILIPE BOECHAT";MARIA EDUARDA SOARES PEREIRA;Nos últimos anos, surgiram diferentes iniciativas voltadas à promoção da circulação e da visibilidade da produção científica de intelectuais mulheres, em um esforço para abrir os cânones de citação para além do predomínio quase absoluto de nomes de autores brancos e situados no Atlântico Norte. Há um movimento em curso, inclusive no Brasil, que se expressa em diferentes iniciativas científicas, editoriais, didáticas e políticas, com o objetivo de contar outras histórias possíveis para as ciências humanas sociais, nas quais as contribuições de intelectuais mulheres sejam devidamente valorizadas, reconhecidas e apropriadas pela comunidade científica – o que vem sendo denominado “justiça citacional” (Coalter 2023). Se já foi dito que estamos em plena “explosão feminista”, o objetivo desta pesquisa é avaliar se este fenômeno também se expressa em uma “explosão de citações” (Silva et al. 2020), isto é, em um aumento súbito na contagem de citações a intelectuais mulheres na produção científica brasileira. Para isso, recorremos à base indexadora SciELO, mais especificamente à coleção brasileira de revistas da área de “Ciências Humanas”, uma vez que podemos extrair massivamente a lista de referências bibliográficas de mais de 60 mil documentos indexados entre 2002 e 2024 (Brasil Jr. e Carvalho 2020). O maior esforço da pesquisa até aqui vem sendo a constituição de um thesarus de nomes, isto é, uma lista de equivalências que permita lidar com a imensa variação nas grafias de nomes de autores(as) listados(as) nos documentos analisados. No atual estágio da pesquisa, aproximadamente 2 mil nomes já tiveram suas variações analisadas e suas nomenclaturas padronizadas. Os resultados preliminares sugerem que houve, sim, uma considerável explosão das citações a intelectuais mulheres, especialmente de mulheres negras, periféricas e, mais recentemente, indígenas. Em particular, no ano de 2022, as citações a Lélia Gonzalez atingiram o seu ponto máximo (de acordo com os dados disponíveis), ultrapassando, por exemplo, a quantidade de citações recebidas por clássicos brasileiros como Florestan Fernandes e Gilberto Freyre. A continuidade da pesquisa prevê a exploração sistemática dos possíveis efeitos desta verdadeira reorganização das estruturas comunicativas das ciências humanas e sociais brasileiras, como a redistribuição da importância de determinados temas, conceitos e revistas no interior dos circuitos de publicação científica analisados. Também se encontra no horizonte da pesquisa a comparação com processos análogos em outros contextos nacionais. As autoras e o autor do resumo participaram igualmente de todas as etapas da pesquisa até aqui.
CFCH / Anexo Andar: 2º Sala 02;22 Sep / SEG;13h30 às 16h00;6422;O PACTO DA BRANQUITUDE NA FORMAÇÃO EM PSICOLOGIA: EPISTEMICÍDIO E DESIGUALDADE RACIAL NO INSTITUTO DE PSICOLOGIA DA UFRJ;"CATALINA REVOLLO PARDO; JÚLIA TEIXEIRA DE CARVALHO; LAURA SOUZA DE AVELAR";MARINA CARDOSO LAGOEIRO;Este trabalho tem como objetivo analisar os impactos do pacto da branquitude na formação acadêmica em Psicologia, especificamente no Instituto de Psicologia da Universidade Federal do Rio de Janeiro (IP-UFRJ). A pesquisa busca compreender como o saber negro é sistematicamente marginalizado dentro do currículo e como as estruturas acadêmicas reproduzem e mantêm desigualdades raciais. Através de uma análise crítica e reflexiva, o trabalho discute o conceito de epistemicídio e a forma como a branquitude — sustentada por um pacto tácito que preserva privilégios — continua a operar na formação de psicólogos, limitando a diversidade epistêmica e silenciando conhecimentos produzidos por autores negros. A metodologia adotada é qualitativa, com uma abordagem de pesquisa bibliográfica e análise crítica do currículo do IP-UFRJ. A análise inclui a revisão das disciplinas obrigatórias, o exame da composição do corpo docente e a consideração das políticas de ações afirmativas. As autoras utilizam a literatura de pensadores negros como Frantz Fanon, Neusa Santos Souza e Cida Bento para fundamentar teoricamente a discussão e evidenciar as desigualdades estruturais e epistemológicas presentes no ensino de Psicologia. A análise proposta abrange do período de 2021.1 até o presente momento (2025), correspondendo a uma formação acadêmica completa, acompanhando todas as etapas da graduação. A pesquisa visa, principalmente, destacar como o currículo e as práticas institucionais do IP-UFRJ contribuem para a marginalização do saber negro, além de refletir sobre a necessidade urgente de transformação dessas estruturas para uma Psicologia mais inclusiva, plural e antirracista. Espera-se que os resultados desta análise revelem a urgência de repensar as políticas acadêmicas de forma estrutural, promovendo a diversidade epistêmica e a valorização efetiva das experiências e saberes racializados. Como considerações finais, este trabalho propõe um movimento em direção à descolonização da Psicologia, com ênfase na valorização do saber negro e das epistemologias contra-hegemônicas. Ressalta-se que romper com o pacto da branquitude é uma condição necessária para qualquer avanço significativo na direção de uma formação acadêmica mais justa. A pesquisa pretende contribuir para o debate sobre a construção de uma Psicologia comprometida com a justiça social e o enfrentamento das desigualdades raciais. Além disso, destaca-se como um momento estratégico o início de novas contratações no IP-UFRJ, o que representa uma oportunidade concreta para repensar os critérios de seleção docente e incluir ativamente profissionais negros comprometidos com uma prática antirracista e transformadora.
CFCH - Decania Andar: 2º Auditório da Decania do CFCH;22 Sep / SEG;13h30 às 16h00;565;CUIDANDO DE QUEM CUIDA: UM OLHAR SOBRE O GRUPO DE MULHERES DO JACAREZINHO AUTORES E ORIENTADORES: CRHYSTIANE DA MATTA BELO DA ROCHA,CRISTAL OLIVEIRA MONIZ DE ARAGÃO,EMILY LOPES MACIEL,SONIA DOS SANTOS GONES,VALERIA FERREIRA ROMANO TRABALHO: 828 TITULO: A PARTICIPAÇÃO DAS MASCULINIDADES NO PROCESSO DE ENFRENTAMENTO À VIOLÊNCIA DE GÊNERO: UMA ANÁLISE DA PARTICIPAÇÃO DE HOMENS NO ENGAJAMENTO DO INSTAGRAM E NA COMPOSIÇÃO DO GRUPO DE PESQUISA E EXTENSÃO PREVENÇÃO À VIOLÊNCIA SEXUAL;"AMANDA MARINHO DA SILVA; DANIEL DE SOUZA CAMPOS; LUDMILA FONTENELE CAVALCANTI";LUISA MOTTA DE CARVALHO AZEVEDO PEREIRA;O presente trabalho descreve a ação extensionista no Jacarezinho, zona norte do Rio de Janeiro, uma das regiões com menor Índice de Desenvolvimento Humano da cidade. Fruto da parceria entre UFRJ (Extensão: Cuidado em Saúde na APS), Centro de Estudos em Atenção Primária 3.2 e Clínica da Família Anthídio Dias da Silveira, a iniciativa ocorreu no Grupo de Mulheres, espaço terapêutico e político de escuta, acolhimento e fortalecimento de vínculos. Partindo do reconhecimento de que mulheres — sobretudo negras e periféricas — assumem o papel central no cuidado da casa, dos filhos, dos idosos e da comunidade, o grupo expôs a sobrecarga física, emocional e mental que gera a “pobreza de tempo”: a falta de oportunidade para lazer, formação e autocuidado. Realizada em encontros quinzenais de 90 minutos, a experiência foi conduzida pela psicóloga da unidade de saúde, com apoio de extensionistas e profissionais da Clínica. Além de rodas de conversa e dinâmicas reflexivas, integrou-se uma vertente artístico-cultural: murais e colagens coletivas para externalizar emoções e narrativas e, sobretudo, passeios guiados a museus, centros culturais e pontos históricos do Rio. Essas saídas permitiram não só momentos de lazer, mas também um reencontro com a cidade, rompendo barreiras que limitam o acesso ao patrimônio cultural. Os relatos das participantes evidenciam o cuidado incessante à família e à comunidade como fardo: “é preciso dar conta de tudo” mesmo exaustas, gerando culpa, solidão, ansiedade, insônia e outras manifestações psíquicas e físicas. A ausência de tempo para si é identificada como vetor de adoecimento e exclusão social. Em contrapartida, o Grupo de Mulheres consolidou-se como espaço seguro e transformador. O compartilhamento de estratégias de enfrentamento e as práticas coletivas de autocuidado — em especial nas vivências culturais — fortaleceram autoestima, senso de pertencimento e a percepção de que cuidar de si também faz parte do cuidado do outro. A imersão em museus e locais de memória proporcionou às mulheres a oportunidade de transpor a rotina extenuante e ressignificar seu vínculo com o território urbano. Conclui-se que é urgente olhar para as condições de vida das mulheres negras periféricas, valorizando o cuidado que desempenham e enfrentando a pobreza de tempo que lhes rouba o autocuidado. A integração de práticas artísticas e culturais demonstrou-se potente para ampliar as expressões de saúde mental e pertencimento. Espaços de escuta coletiva e vivência cultural, como este Grupo de Mulheres, provam ser estratégias eficazes de fortalecimento comunitário. Defende-se o reconhecimento e a ampliação de ações extensionistas intersetoriais e culturalmente situadas no SUS, capazes de construir práticas de cuidado mais justas, afetivas e transformadoras.
CFCH - Decania Andar: 2º Auditório da Decania do CFCH;22 Sep / SEG;13h30 às 16h00;2122;TRANSTORNO DE ESTRESSE PÓS TRAUMÁTICO ASSOCIADO AO PARTO: UMA REVISÃO DA LITERATURA BRASILEIRA;EVELYN GONCALVES FREIRES CELESTINO;MARCIA LEONARDI BALDISSEROTTO;"O parto, quando evento traumático, pode ocasionar o Transtorno de Estresse Pós Traumático (TEPT) Associado ao Parto¹. Sua prevalência na população brasileira é de 3% a 9%². Apesar de sua ocorrência acarretar prejuízos à saúde materna-infantil, os estudos no Brasil são escassos. Dada sua importância, é crucial compreender formas de prevenção, tratamento e lacunas. O objetivo foi analisar estudos nacionais sobre o TEPT Associado ao Parto, identificando suas tendências, lacunas e informações sobre a população brasileira. Foi conduzida uma revisão da literatura brasileira em cinco bases de dados: BVS, PUBMED, LILACS, CAPES e Google Acadêmico, utilizando os descritores ""Transtorno de Estresse Pós Traumático Associado ao Parto"", ""Childbirth Posttraumatic Stress Disorder"", “Childbirth” and “Stress Disorder” e “Childbirth” and “traumatic”. Foram encontrados 4 artigos, sobre teoria, método e pesquisas empíricas. O primeiro estudo³ utilizou o Mini-International Neuropsychiatric Interview encontrou prevalência de 2,3% e as seguintes variáveis associadas: baixo poder aquisitivo, histórico de transtornos psiquiátricos, hipertensão ou diabetes mellitus e bebês prematuros, baixo peso ao nascer e icterícia. O segundo estudo² encontrou prevalência de 9,4% em uma maternidade de alto risco, utilizando o Post-Traumatic Stress Disorder Checklist. Esse indicou associação entre TEPT e o número de partos anteriores, bebês com Apgar no primeiro minuto menor/igual a sete, medo ou sensação de falta de controle durante o parto, menção a traumas na infância e violência durante a gravidez. Uma limitação apontada pelos autores foi a imprecisão entre casos de TEPT que iniciaram no pós-parto daqueles preexistentes. O rastreio e busca pela interrupção da violência por parceiros íntimos ao longo da gestação foi citado como forma de prevenção, podendo ser feito através da Atenção Básica, pois permitem o cuidado integral à mulher e inserção familiar e social. Em 2024, foi publicado um terceiro estudo (Osório et al., 2024) que indicou 5,4% de TEPT utilizando a City Escala de Trauma do Nascimento. Por fim, um dos estudos discutiu a adaptação transcultural para o Brasil da escala City¹, devido a prévia inexistência de um instrumento específico para rastreio deste tipo de trauma. Conclui-se que há uma escassa literatura no Brasil sobre a temática. Os estudos encontrados possuíam limitações dado o tipo e tamanho amostral, impossibilitando fazer inferências sobre a população brasileira. Além disso, os estudos iniciais não utilizaram instrumentos específicos para rastreio desse transtorno. Apenas em 2020, foi adaptado transculturalmente para o Brasil a Escala City, que tem como objetivo aferir especificamente o TEPT associado ao parto. Com isso, entende-se a necessidade de pesquisas que abordem as particularidades sociodemográficas brasileiras, bem como a busca por modos eficazes de rastreio, prevenção e tratamento que possam ser incluídos no sistema de saúde brasileiro."
CFCH - Decania Andar: 2º Auditório da Decania do CFCH;22 Sep / SEG;13h30 às 16h00;3391;TENTANDO ENGRAVIDAR DURANTE A PANDEMIA DE COVID−19: MEDOS E INCERTEZAS DURANTE A IC;"ANA CRISTINA BARROS DA CUNHA; BRUNA MENDES ROZA RODRIGUES";DANIELA TATIANA SANABRIA ALVAREZ;A Inseminação Caseira (IC) é um método de inseminação de baixo custo, realizado fora de clínicas médicas especializadas em reprodução humana. Através de um pote de coleta e seringa esterilizável, pessoas que desejam engravidar armazenam o sêmen de um doador e logo depois introduzem na vagina para realizar a inseminação. Com a crescente escolha por esse método, principalmente por mulheres lésbicas, grupos de IC nas mídias sociais ganharam visibilidade. Por sua vez, a pandemia de COVID-19, originada na China no final de 2019, rapidamente se espalhou pelo mundo, impactando diversos setores da sociedade. A alta transmissibilidade do vírus, aliada à escassez de estudos científicos e ao desconhecimento sobre a doença, exigiu a implementação de medidas preventivas, como o distanciamento social, dando maior destaque para as interações mediadas pela internet (Aquino et al,2020). Considerando o aumento da escolha pela Inseminação Caseira como um método inovador para a realização do desejo da maternidade, somada a uma pandemia de aspectos poucos conhecidos, o objetivo deste estudo é analisar o impacto na experiência subjetiva de mulheres lésbicas que tentaram IC durante a pandemia de COVID-19. Trata-se de um estudo qualitativo, descritivo e exploratório, utilizado com uma amostra de conveniência de 22 mulheres que se autodeclararam lésbicas e tentantes de IC recrutadas pelo Facebook no ano de 2020. Todas responderam a um questionário virtual e seus relatos foram analisados pela metodologia de análise de conteúdo de Bardin. Os conteúdos foram divididos em duas categorias: a) A importância da IC na tentativa de gestar e b) Tentando engravidar durante a pandemia de COVID-19: Medos e incertezas durante a IC. Os resultados apontam a importância da IC enquanto método de reprodução devido ao seu baixo custo, além da autonomia das mulheres com seu próprio corpo na inseminação No entanto, também foram percebidas em suas falas medos e à ausência de acompanhamento médico, devido aos riscos de infecções. Apesar dos desafios, a IC oferece uma importante alternativa para tentantes lésbicas, mesmo num contexto de crise de saúde pública. De maneira geral, a escassez de estudos sobre Inseminação Caseira durante a pandemia de COVID-19 dificulta a discussão sobre as vivências subjetivas das mulheres lésbicas durante esse período pandêmico. Apesar de haver dados sobre a IC nesse período, entende-se que o uso do método ainda foi o escolhido, mesmo diante da pandemia. Por isso, a discussão deve ser ampliada para incluir a necessidade de políticas públicas mais inclusivas que garantam o acesso igualitário às tecnologias de reprodução assistida, reconhecendo e atendendo as necessidades específicas de casais homoafetivos. Para isso são necessários mais estudos enfatizando a necessidade de maior suporte institucional e reconhecimento legal para diferentes formas de gestar e famílias. CAAE: 83501518.5.0000.5582 Número do Parecer: 2.618.915 obs: não estou conseguindo citar todo o CEP
CFCH / Anexo Andar: 2º Sala 07;22 Sep / SEG;13h30 às 16h00;1396;CORPO, LINGUAGEM E EMOÇÃO: UMA CONEXÃO HISTÓRICA NA GRÉCIA ANTIGA AUTORES E ORIENTADORES: FÁBIO DE SOUZA LESSA,LARISSA FERNANDES NOGUEIRA TRABALHO: 1647 TITULO: AS LINGUAGENS POLÍTICAS DA ULTRADIREITA;"JORGE GOMES DE SOUZA CHALOUB; KAREN GUIMARAES BONFIM; LAVINIA PONSO E VASCONCELOS";NINA RIBEIRO DE OLIVEIRA;"O corpo, a linguagem e a emoção são elementos de expressão cultural e formados socialmente. Isso significa que cada sociedade pensou, definiu e privilegiou certos aspectos do corpo, da linguagem e da emoção. Assim, os sentimentos não “são estados absolutos, substâncias que se pode transpor de um indivíduo ou grupo a outro, e nem mesmo exclusivamente processos fisiológicos cujos segredos estariam contidos no corpo”; logo, emoções são relações (Le Breton, 2019, p. 9). Tais relações são experimentadas, expressadas, interpretadas e moldadas pelas sociedades em que se inserem (Rosenwein, 2011, p. 19), formando um sistema de sentidos e de valores próprios a um determinado grupo social, o que Barbara Rosenwein define com sua História das emoções. Entretanto, para exprimir uma emoção, devemos considerar que corpo e linguagem são intrínsecos, uma vez que são necessários gestos corporais e palavras para isso. Sendo assim, há uma conexão histórica entre corpo, linguagem e a emoção. Na Grécia antiga, também é possível analisar tal relação. Os gregos chamavam o corpo de sôma e consideravam que a ginástica era fundamental para proporcionar força e beleza para o cidadão grego. Para eles, deveria haver uma certa harmonia do corpo e da alma e, consequentemente, dos sentimentos, em especial por meio de exercícios e ensinamentos no ginásio. Sobre emoções nessa época, a palavra ""sentimento"" não existia, mas haviam termos parecidos – como movimentos, afetos e paixões –, que faziam parte das línguas do Ocidente desde a época dos antigos gregos. Para essa sociedade, um dos termos era pathos, que é “relacionado ao verbo paskhô, ‘sofrer’ ou 'experimentar”' (Konstan, 2006, p. 3), e no grego clássico, “pode se referir de forma mais geral ao que acontece a uma pessoa, geralmente no sentido negativo de um acidente ou infortúnio, embora também possa ter o significado neutro de uma condição ou estado de coisas” (Konstan, 2006, p. 3-4). Portanto, mesmo que em uma sociedade tão diferente e antiga como a da Grécia antiga, pode-se pesquisar a relação entre esses elementos. Na comunicação, a ênfase será dada a tal conexão, segundo a História das Emoções, método categorizado por Barbara Rosenwein (2011). Para isso, analisaremos as os poemas de alguns autores importantes do período, como Homero, Safo de Lesbos, Anacreonte; os escritos de Platão, principalmente ""O Banquete""; e algumas peças de teatro, como Hipólito, de Eurípides, Antígona, de Sófocles e Lisístrata, de Aristófanes."
CFCH / Anexo Andar: 2º Sala 07;22 Sep / SEG;13h30 às 16h00;2644;Os Concílios e a integração do Reino Visigodo;GABRIELA RIBEIRO VILLABOIM SANTOS;PAULO HENRIQUE DE CARVALHO PACHÁ;Este projeto tem como objetivo central analisar as formas de integração política no Reino Visigodo de Toledo, tomando como base os concílios eclesiásticos (séculos VI-VIII), tanto gerais quanto provinciais. Os concílios são entendidos aqui como espaços de articulação entre o poder central e as elites locais. Paralelamente, o trabalho também busca construir um banco de dados sistematizado com informações extraídas das atas conciliares, permitindo não apenas contribuir com esta investigação, mas também criar uma referência sistematizada e pública para facilitar e incentivar futuros projetos. Como bolsista de Iniciação Científica, meu trabalho tem sido comparar duas edições críticas das atas conciliares, uma delas sendo o livro “Concilios visigóticos e hispano-romanos.” de José Vives (1963), e a outra “La Colección Canónica Hispana” de Gonzalo Martínez Díez (1966). O que busco comparar, portanto, são informações sobre os participantes dos Concílios a partir das seguintes categorias: concílio, ano, nome do bispo presente, cargo, sede episcopal, província, e prosopografia. Para esta última categoria, utilizo a obra “Prosopografia del Reino Visigodo de Toledo”, de Garcia Moreno (1974), que apresenta uma compilação de informações sobre os bispos do Reino Visigodo, considerando de quais concílios eles participaram e outras informações. A hipótese que orienta o trabalho é de que a variação na representação de regiões e bispados nos registros reflete a transformação das dinâmicas de integração política no reino Visigodo de Toledo. Minha atuação como bolsista concentra-se então na elaboração desse banco de dados, além de analisar tanto a bibliografia clássica, como Valverde Castro e Garcia Moreno, quanto as propostas mais recentes, como Roger Collins (1980), Sam Koon e Jamie Wood (2009), e Paulo Pachá (2020), sobre as relações entre o poder central e os poderes locais. Cruzando esses dados, busco compreender como as sedes episcopais valorizavam sua participação nos concílios e como isso se relacionava com sua atuação no reino, sendo elas possivelmente mais próximas do poder central do que a historiografia tradicional imagina, ou mesmo completamente integradas. Esta pesquisa contribui para uma visão mais detalhada do funcionamento político visigodo, destacando o papel dos concílios como instrumentos de negociação e administração do reino.
