Local;Data;Horário;ID do Trabalho;Título;Autor(es);Orientador(es);Resumo
Faculdade de Letras Bloco: F Andar: 1 104;22 Sep / SEG;09:00 às 12:00h;2766;“Introdução ao par de esquadros”: vídeo produzido pelo DSS para popularização do Desenho Geométrico e Projetivo;"ESTER BRANQUINHO ANTONIO; ISABELLA LIMA COSTA; JULIANA; MARCOS TADEU RIANELLI FERREIRA VIANA; MARIA BRENA DA COSTA SOUZA";MARIANE BRITO AZEVEDO BORGES;O Desenho Sobe a Serra - DSS é um projeto de extensão formado por estudantes das Licenciaturas em Expressão Gráfica e Artes Visuais, da Escola de Belas Artes da UFRJ. Seu principal objetivo é democratizar o acesso ao conhecimento de Desenho Geométrico e Projetivo, especialmente entre públicos que, por diversos fatores, não têm contato com a disciplina no ensino formal. Para isso, o projeto utiliza as redes sociais, YouTube e Instagram, como meio de divulgação dos conteúdos relacionados a essas duas áreas. No canal do YouTube, foco deste trabalho, utilizamos como metodologia a criação de vídeos, alguns deles no formato de conversa, dentro dos quais apresentamos e discutimos a disciplina de Desenho através do olhar de quem a ensina e aplica em seu cotidiano, explicando os conceitos, finalidades e história. Já em 26 de novembro de 2024, o projeto deu início a um curso online, gratuito e com linguagem acessível, lançando sua primeira videoaula, que será apresentada como produto deste trabalho, intitulada “Introdução ao par de esquadros”, com o objetivo de abordar diretamente o uso destes instrumentos essenciais para prática do Desenho, explicando em detalhes suas propriedades e uso, como realizar a formação de ângulos, retas paralelas e perpendiculares e movimentos essenciais. Os integrantes do projeto atuam de forma colaborativa nas seguintes etapas de construção do vídeo: produção de animações, filmagens, edição, narração e legenda, visando trazer acessibilidade. A partir desta organização, a extensão fez reuniões com análise do produto, e futuramente planeja inserir descrição em Libras aos próximos materiais do curso, empenhada em aprimorar seu formato e persistir elaborando demais meios de ensinar sobre os temas presentes no Desenho. Os resultados esperados incluem a ampliação do acesso rápido e fácil ao conteúdo da disciplina e o aumento do interesse pela área entre o público estudantil. Conclui-se, ainda que de forma parcial, que o uso de recursos audiovisuais e plataformas digitais pode ser uma estratégia eficaz para o ensino de conteúdos tradicionalmente pouco acessíveis.
Faculdade de Letras Bloco: F Andar: 1 104;22 Sep / SEG;09:00 às 12:00h;5596;ARQUITETURA EM REVISTA: LUIZ AMÉRICO GAUDENZI;"ANDRES PASSARO; ARTUR RAMOS FERNADES; MARCELLA RIBEIRO DE OLIVEIRA MACHADO; PAULO NEVES SIQUEIRA; RAYARA DE ALMEIDA MAIA";VINÍCIUS DA SILVA SOARES;A história da arquitetura brasileira passou por diversos momentos de destaque e importância no aspecto nacional e internacional, muitos nomes são reconhecidos e homenageados em contextos muitas vezes externos ao da própria comunidade arquitetônica. Contudo, muitas personalidades importantes no cenário histórico da arquitetura brasileira não têm grandes trabalhos de registro e divulgação de suas obras. Com a passagem do tempo, corremos grande risco de perder registros e informações riquíssimas da história do desenvolvimento arquitetônico do país, a necessidade de formalizar este registro e sua divulgação é essencial para preencher essa lacuna da história da arquitetura. Com essa problemática em mente, entendemos que a universidade se coloca como ator central no processo de registro, divulgação e democratização da história dessas narrativas. O Núcleo de Pesquisa e Documentação (NPD) da faculdade de arquitetura tem grande destaque no cenário nacional no processo de registro e valorização da história dos grandes profissionais de arquitetura no país. Contudo, para uma real transmissão deste conhecimento e pela democratização de sua leitura, faz-se essencial o registro audiovisual que apresentem as narrativas dessa história. O atual projeto se coloca como um braço deste complexo processo, idealizado como um registro que possa se expandir para além do espaço físico do acervo, alcançando o máximo de pessoas possíveis que se interessem por essa riqueza de narrativas. O formado na Faculdade de Arquitetura e Urbanismo da UFRJ, o arquiteto Luiz Américo Gaudenzi se coloca como uma personalidade que teve seu trabalho colocado como prioridade pelo projeto, o acervo de sua obra foi doada ao NPD, acompanhado disso, foi organizado uma série de entrevistas em que se pudesse apresentar sua história e seu papel no desenvolvimento arquitetônico do Brasil. O desenvolvimento metodológico do projeto, sob orientação do professor Andres Passaro e Paulo Siqueira, se deu a partir da coletânea do acervo doado ao NPD, associado ao registro em vídeo de entrevistas, em que sua trajetória é apresentada a partir da perspectiva de colegas de trabalho e familiares. Com este material, fez-se a construção de uma narrativa documental que se associa à sua obra e suas colocações em um projeto audiovisual. Como resultado, espera-se que o registro seja amplamente divulgado pelo NPD nas mais diversas formas possíveis, a associação do arquivo material com o registro digital se coloca como um grande facilitador no processo de pesquisa e democratização do acervo. Esse processo contribui com a grande narrativa nacional e o entendimento da história da arquitetura brasileira.
Faculdade de Letras Bloco: F Andar: 1 104;22 Sep / SEG;09:00 às 12:00h;6108;ARQUITETURA EM REVISTA: LUIZ MARIO XAVIER;"ANDRES PASSARO; ARTUR RAMOS FERNADES; MARCELLA RIBEIRO DE OLIVEIRA MACHADO; PAULO NEVES SIQUEIRA; RAYARA DE ALMEIDA MAIA";VINÍCIUS DA SILVA SOARES;A preservação da memória de arquitetos que protagonizaram momentos importantes da história da arquitetura brasileira torna-se cada vez mais urgente, especialmente diante da passagem do tempo e da possibilidade de perda de relatos fundamentais ainda não plenamente documentados. O desaparecimento dessas histórias comprometeria não apenas o legado desses profissionais, mas também a compreensão de períodos e práticas arquitetônicas. Nesse contexto, a produção de registros audiovisuais surge como meio essencial para salvaguardar e democratizar essas narrativas, conectando novas gerações às experiências que moldaram o campo da arquitetura. Atento a essa problemática, o projeto Arquitetura em Revista, conduzido sob a orientação dos professores Andres Passaro e Paulo Siqueira, busca desenvolver uma série de documentários sobre arquitetos cujos acervos são preservados pelo Núcleo de Pesquisa e Documentação (NPD) da FAU UFRJ. Como primeiro resultado, foi feito o registro da trajetória do arquiteto Luíz Mario Xavier — formado pela Universidade de Brasília em 1969, professor voluntário da UFRJ e colaborador de Oscar Niemeyer e Ítalo Campofiorito. Sua escolha se justifica pela trajetória singular que atravessa momentos-chave da arquitetura moderna brasileira e por ser um dos poucos arquitetos do acervo do NPD ainda vivo e ativo. Sua disposição em compartilhar oralmente suas experiências representa uma oportunidade valiosa de registro em primeira pessoa, conferindo ao material uma riqueza de detalhes que dificilmente poderia ser obtida por outras vias. Assim, a iniciativa visa assegurar que conhecimentos e experiências de gerações mais antigas não se percam com o tempo. A metodologia envolveu gravação de entrevistas presenciais na FAU UFRJ, captação de áudio e vídeo, edição do material e articulação dos depoimentos com documentos textuais, fotografias e projetos do arquiteto. A pesquisa biográfica, seleção de acervo e organização do conteúdo foram realizadas pelas autoras, consolidando práticas de preservação documental, patrimônio imaterial e comunicação digital. Como resultado, está sendo elaborada uma síntese audiovisual da trajetória de Luíz Mário Xavier, estruturada por eixos temáticos surgidos das entrevistas e enriquecida com imagens de seu acervo pessoal. O material será disponibilizado pelo NPD, de forma integral e segmentada por temas, facilitando consulta e pesquisa acadêmica. Também será realizada uma exposição presencial com parte do acervo, trechos da entrevista e exibição do documentário completo, com a presença do arquiteto homenageado para celebrar sua trajetória. Ao reunir relatos de vida e práticas profissionais de arquitetos, o projeto contribui para a preservação do patrimônio imaterial da arquitetura brasileira, garantindo que memórias e saberes fundamentais permaneçam acessíveis para futuras gerações e consolidando a importância da história oral na documentação contemporânea.
CLA/Escola de Belas Artes/JMM Bloco: Andar: 7 719;22 Sep / SEG;09:00 às 12:00h;487;SERTÃO RESISTE;CARLOS DANIEL DE OLIVEIRA MAFRA;ELIZABETH MOTTA JACOB;"""Sertão Resiste"" é um curta-metragem animado, de tom poético e dramático, que, por meio da história de Canudos, busca criar uma identificação com brasileiros historicamente invisibilizados e marginalizados pelo poder público — porém profundamente resilientes. Mais do que simplesmente recontar os fatos da trágica guerra de Canudos, o filme se propõe, através de estilizações marcantes, cores simbólicas e composições que contemplem o sertão nordestino, evocar sensações e reflexões sobre os ciclos de opressão que contrastam com a permanente resistência popular. O objetivo inicial era adaptar a obra literária Os Sertões, de Euclides da Cunha — obra canônica, essencial na compreensão de Canudos, mas marcada pelos determinismos raciais e preconceituosos do século XIX. Para ir além do texto original, o projeto incorpora relatos orais, manifestações culturais populares como xilogravuras de cordel e historiografias contemporâneas, que ajudam a construir uma narrativa a partir dos próprios sertanejos."
CLA/Escola de Belas Artes/JMM Bloco: Andar: 7 719;22 Sep / SEG;09:00 às 12:00h;1612;Pequenas mãos fazem o que grandes mãos já fizeram;MAY BRAGA MARQUES;PAULA SCAMPARINI;"Para a 14ª Semana de Integração Acadêmica da Universidade Federal do Rio de Janeiro (SIAC/UFRJ), serão apresentados os desdobramentos teóricos e o relato do processo de desenvolvimento da videoarte intitulada “Pequenas mãos fazem o que grandes mãos já fizeram”. A obra dialoga diretamente com minha pesquisa atual, centrada nas infâncias, nas brincadeiras e nas memórias. Em específico para essa apresentação, os principais temas abordados incluem: a importância do processo de rememoração, a singularidade de cada infância, o brincar entre gerações e a preservação da memória ancestral. Na videoarte, quatro pares de mãos de uma mesma família são filmados em sequência geracional — do mais velho ao mais novo — interagindo com materialidades distintas: um pedaço de tecido de algodão cru, dois pedaços médios de madeira, duas pedras e uma porção de argila (barro). A escolha desses materiais não vem por acaso, mas deriva da observação de práticas lúdicas primárias. Objetos que aparentemente por si só são desprovidos de significado específico, os ganham apenas ao serem manipulados, ressignificados e, assim, transformados em brincadeira. Essa capacidade imaginativa está fortemente ligada à infância, mas, ao incluir pessoas fora desse escopo na filmagem, evidencia-se que o brincar pode atravessar o tempo. Especialmente porque, no caso das gerações mais velhas, ocorre um processo importante de rememoração. Ele é necessário para a conexão entre memórias, história e identidade, pois embora o sujeito porte memórias, delas só se registram fragmentos, e estes ao serem lembrados desvelam outras lembranças. (GOULART;OSTETTO, 2020) A observação das mãos em ação revela a singularidade de cada vivência, afinal a experiência de brincar cruza diferentes tempos e lugares, passados, presentes e futuros, sendo marcada ao mesmo tempo pela continuidade e pela mudança. Já as gerações mais novas, embora tenham uma imaginação menos constringida, podem enfrentar barreiras contemporâneas, como o excesso de objetos prontos e a aceleração do cotidiano, o que modifica suas formas de apropriação do mundo por meio da brincadeira. O título da obra propõe um jogo de palavras interessante, pois enquanto pequenas mãos refazem gestos já vivenciados por mãos mais velhas, analisando a ancestralidade e a manutenção da memória ancestral - tema que está muito presente por ser um vídeo de caráter familiar - também são essas grandes mãos que, muitas vezes de forma inconsciente, repetem gestos infantis perdidos, resgatando modos de brincar de outrora. Assim, há um ciclo contínuo entre memória, ancestralidade e imaginação. Para a SIAC 2025, a proposta é aprofundar essas reflexões, evidenciando como o brincar, a memória e a ancestralidade se entrelaçam na formação dos sujeitos e na construção de uma herança afetiva e simbólica entre gerações."
CLA/Escola de Belas Artes/JMM Bloco: Andar: 7 719;22 Sep / SEG;09:00 às 12:00h;1641;ANT−E−PASSADOS;ERIKSOM DO NASCIMENTO CRUZ VERISSIMO;PAULA SCAMPARINI;"ANT-E-PASSADOS"" é uma vídeo-arte que investiga, através de uma poética visual, os efeitos do apagamento histórico sobre famílias negras brasileiras e os caminhos possíveis de resistência e reconstrução de memória. O projeto nasce de uma experiência pessoal de Erikson Veríssimo, após a realização de um teste genético que o levou ao encontro de Gustavo, um primo até então desconhecido, em Pernambuco. A partir de uma narrativa familiar que relatava a tentativa de assassinato de seu bisavô recém-nascido, abandonado sobre um formigueiro por ter nascido negro em uma família branca, a obra propõe uma inversão simbólica desse gesto de morte: um novo encontro possível, onde o afeto sobreviveu aos escombros do esquecimento. O título ""Ant-e-passados"" reúne múltiplas leituras a partir de sua grafia e sonoridade. ""Ant"" (formiga, em inglês) remete diretamente à ação simbólica das formigas, enquanto ""antepassados"" se refere aos ancestrais, aos que vieram antes. A separação gráfica por hífens sugere ruptura e reconstrução, criando a sensação de um corte no tempo histórico, como se os ""passados"" estivessem fragmentados e precisassem ser reconfigurados. Apesar da separação, a sonoridade do título ainda remete a ""antepassados"", mantendo a referência à ancestralidade, com um toque de estranhamento. Metodologia: o projeto será realizado por meio de etapas que articulam processos analógicos e digitais. Primeiro, será feita a ampliação de uma fotografia analógica que registra o encontro entre Erikson e Gustavo, impressa sobre papel de arroz. Em seguida, o artista aplicará mel em torno dos corpos presentes na imagem e posicionará a fotografia sobre um formigueiro ativo. Essa ação será registrada em vídeo com a câmera de um iPhone 14 Pro Max. A edição do vídeo utilizará recursos como aceleração de tempo (time-lapse), compondo uma experiência estética que revela o gradual desaparecimento da fotografia pelas formigas — gesto simbólico que tensiona destruição e permanência dos vínculos afetivos. A atuação de Erikson se dá integralmente na concepção, produção, filmagem e edição do trabalho. Entre os resultados esperados estão provocar no público uma reflexão crítica sobre memória, ancestralidade e a possibilidade de reescrever narrativas de vida a partir de ruínas históricas. Espera-se também a abertura de novas experiências estéticas decoloniais dentro da vídeo-arte contemporânea brasileira e da fotografia em campo expandido afro-referenciada. Como considerações parciais, destaca-se o desafio de traduzir em imagens um trauma histórico que, ao mesmo tempo, denuncia uma violência e celebra a resistência e o encontro afetivo que a história oficial tentou apagar. Assim, a obra será uma afirmação da potência dos corpos negros em construir novas histórias, mesmo diante de tentativas sistemáticas de apagamento."
CLA/Escola de Belas Artes/JMM Bloco: Andar: 7 719;22 Sep / SEG;09:00 às 12:00h;5048;ENTRE LINHAS: A CRÍTICA DE MÁRIO BARATA FACE A EPISÓDIOS DE VIOLÊNCIA NA DITADURA MILITAR;LILY EXCENE MESQUITA LAGERBLAD GRAHAM;PRISCILLA ALVES PEIXOTO;"Este trabalho dá continuidade às investigações desenvolvidas no âmbito do projeto História da Crítica da Arquitetura (PROARQ-UFRJ), dedicadas à biografia e às contribuições de Mário Barata (1921–2007), crítico, museólogo, professor e historiador da arte. Mais especificamente, se concentra na análise de textos publicados por Barata no Jornal do Commercio nas décadas de 1960 e 1970, em resposta a episódios de violência estatal no regime militar. No entanto, o trabalho não se debruça apenas sobre as formas pelas quais Mário Barata utilizou o jornal como plataforma de produção crítica, mas também se aproxima da produção artística do período, levantando propostas que elaboram estratégias de descontinuidade, ambiguidade, ruptura e reelaboração como meios de acesso àquilo que aparatos institucionais do estado brasileiro tentaram apagar. A fundamentação teórica da investigação parte da obra Figuras da História (2018), de Jacques Rancière, a fim de pensar a capacidade do debate artístico de deslocar, para fora da invisibilidade e da noção de irrepresentabilidade, o extermínio. Para complementar essa base teórica, serão também utilizadas as pesquisas de CHAGAS, 2011; e RIBEIRO, 2017. Assim, a pesquisa é norteada por alguns questionamentos: Como Mário Barata participa da crítica à gestão de vida e morte da ditadura? Como suas publicações se inserem em um circuito mais amplo de mobilizações, em que imprensa, arte e crítica se interseccionam como espaços de denúncia? Como as denúncias contra a violências do regime militar eram articuladas por outras figuras da mesma rede de atuação de Mário Barata e que similitudes, dissonâncias e intercâmbios podem ser traçados em relação ao que era simultaneamente divulgado na imprensa sobre esses casos? O presente trabalho, portanto, tem como objetivo aprofundar a compreensão sobre a participação de intelectuais do campo artístico brasileiro nos debates públicos contra o regime militar, com ênfase nas estratégias discursivas acionadas frente aos contextos de violência. Para isso, por meio do estudo documental e do discurso, o trabalho vale-se da análise de fontes como os textos publicados por Mário Barata no Jornal do Commercio entre 1966 e 1972, bem como articulações de intelectuais do meio artístico contemporâneos a Barata – como a Nova Crítica de Frederico Morais –, sem a pretensão de esgotá-las, mas trazê-las enquanto recurso para situar esse debate."
CLA/Escola de Belas Artes/JMM Bloco: Andar: 7 719;22 Sep / SEG;09:00 às 12:00h;5923;A RELAÇÃO ENTRE A ARTE E O CINEMA: UMA ANÁLISE VISUAL DE COMO AS OBRAS DE ARTE APARECEM EM FILMES;ANA MARIA TAVARES CAVALCANTI;ISABELLE MIRABEAU BRILHANTE MIRANDA;"Este trabalho representa o questionamento inicial que deu origem ao meu Trabalho de Conclusão do Curso de História da Arte, e visa explicitar o processo de pesquisa, que ainda se encontra em andamento, a partir desse recorte originário. É notável a frequência com a qual podemos perceber a influência de obras de arte nos aspectos visuais e até narrativos de um filme, podendo ela ocorrer de maneira sutil - ao ajudar na construção de um personagem ou na ambientação de uma cena - ou de maneira clara e objetiva, notando-se, facilmente, qual obra inspirou aquela cena. O grande diretor brasileiro Humberto Mauro (1897-1983), por exemplo, utilizou obras célebres brasileiras, como como “A Primeira Missa no Brasil” (1861) do artista Victor Meirelles (1832-1903) e “Desembarque de Pedro Álvares Cabral em Porto Seguro, 1500” (1900) do artista Oscar Pereira da Silva (1867-1939), reconstruindo-as em suas cenas a fim de representar tais momentos históricos importantes. Lars Von Trier (1956 - dias atuais), em seu filme “Melancholia” (2011), recria a pintura “Ophelia”(1851-1852) de Millais (1829-1896), enquanto Stanley Kubrick traz a obra de Van Gogh (1853-1890), “Exercício de Prisioneiros” (1890) em “Laranja Mecânica” (Kubrick, 1971) e Guillermo Del Toro, “Saturno Devorando um Filho” (1820-1823) de Goya (1746-1828) no filme “O Labirinto do Fauno (Del Toro, 2006). Em cada um desses filmes, a arte aparece com diferentes fins, que perpassam apenas a questão estética e se estendem para a construção de personagens, narrativas, ambientações. Elas auxiliam na ativação da bagagem e dos sentimentos do espectador, algo que é essencial para a criação da atmosfera fílmica. Este trabalho surge, então, a partir dessa percepção, buscando compreender como a arte, em especial a pintura, aparece e contribui para o cinema moderno e quais as relações que podem ser percebidas entre o cinema e a pintura. Para tal, serão selecionados exemplos, como os supracitados, de obras que aparecem diretamente representadas em filmes modernos, a serem analisados pelos seus aspectos conceituais e estéticos. Mostra-se indispensável para tal análise e para o Trabalho de Conclusão de Curso como um todo, o livro “Ambiência, Atmosfera, Stimmung” (2014) do autor Hans Ulrich Gumbrecht (1948 - dias atuais); o trabalho da autora Inês Gil, no que diz respeito à compreensão do conceito de atmosfera e atmosfera fílmica; e o artigo “Primeira missa e invenção da descoberta. A descoberta do homem e do mundo.” (COLI, 1998) de Jorge Coli (1947 - dias atuais), a fim de compreender o uso da pintura no cinema. Por fim, será explicado brevemente o andamento da pesquisa do Trabalho de Conclusão de Curso, que busca aprofundar a análise ao focar na questão da atmosfera histórica trazida por Gumbrecht (2014) tanto na pintura quanto no cinema, através do recorte da representação do século XIX."
CLA/Escola de Belas Artes/JMM Bloco: Andar: 7º 717;22 Sep / SEG;09:00 às 12:00h;1380;Percursos da Fotografia e da Arte Contemporânea no Brasil: Ancestralidade, Identidade e Resistência AUTORES E ORIENTADORES: ELISA DE MAGALHÃES,JOSE MIGUEL ALVES REIS,LíVIA CRISTINA DOS SANTOS TRABALHO: 3253 TITULO: Entre afetos, memória e sensibilidade estética: diálogos com a Aprendizagem Significativa na Arte−Educação;ANDREZA KELLY DOS SANTOS;DORALICE DUQUE SOBRAL FILHA;"O projeto “Fotografia contemporânea: processos e modalidades”, vinculado à pesquisa “Derivagens” (CNPq), combina teoria e prática através de encontros semanais e projetos PIBIAC. Após explorarmos a costa oeste africana no ano anterior, retornamos ao Brasil para focar em artistas, pesquisadores e fotógrafos contemporâneos. Escolhemos quatro nomes para aprofundar reflexões sobre a fotografia no Brasil e, em 2025, o projeto continuará investigando a produção fotográfica, sempre com base na desconstrução da colonialidade. Iniciamos com Paulo Nazareth, artista multimídia conhecido pelas fotografias performáticas que evidenciam o corpo como linguagem principal. Sua obra usa símbolos da cultura brasileira para questionar o colonialismo, a arte contemporânea e os limites da linguagem artística, misturando performance, fotografia e cotidiano. Em seguida, abordamos Mario Cravo Neto, cuja formação em escultura contribuiu para a dramaticidade de suas fotografias. Transitando entre escultura e fotografia, sua produção cria seres místicos e sensuais, fortemente marcados pela cultura baiana. Estudamos também Ayrson Heráclito, artista visual, curador e professor. Sua obra, que combina performance, fotografia e instalação, explora culturas afro-brasileiras, rituais do candomblé e a memória da diáspora africana, utilizando materiais simbólicos como dendê, sal e carne seca para narrar histórias de resistência. Por fim, analisamos Lúcia Nagib, pesquisadora e professora de cinema na University of Reading (Reino Unido), referência internacional em estudos de realismo e intermidialidade. Autora de livros como ""Brazil on Screen"" (2007) e ""Realist Cinema as World Cinema"" (2020), foi eleita membro da British Academy em 2023. Nas produções desses artistas, reconhecemos críticas ao colonialismo e às experiências de marginalização, mostrando como o véu da subalternidade atravessa relações sociais e artísticas. Ainda assim, emergem possibilidades de resistência e reinvenção, carregadas de poética, misticismo e crítica social.Ao nos debruçarmos sobre esses processos, propomos não apenas a análise, mas também a participação ativa na criação artística, articulando práticas que questionem o mundo colonial. Pretendemos desenvolver trabalhos, aulas, eventos e escritos que materializem essas investigações, com resultados a serem apresentados em um site próprio."
CLA/Escola de Belas Artes/JMM Bloco: Andar: 7º 717;22 Sep / SEG;09:00 às 12:00h;3997;ENSINO DE DESENHO E INTERCULTURALIDADE NA ESCOLA;DORALICE DUQUE SOBRAL FILHA;ROBERTA TOMAZ CENDON GIL;O presente trabalho tem como objetivo refletir e analisar sobre a inserção de perspectivas interculturais no ensino do Desenho Geométrico/Desenho Projetivo nos diferentes segmentos do ensino básico. A pesquisa tem como principal referência a lei 11.645/2008 que trata sobre a obrigatoriedade do estudo da história e cultura indígena e afro-brasileira nos estabelecimentos de ensino fundamental, médio e superior (licenciaturas). Como metodologia, a proposta trabalha de forma qualitativa com a análise do Plano Político Pedagógico Institucional (2017-2020) do Colégio Pedro II (CPII) e nos Conteúdos Programáticos (determinados anualmente) do Colégio de Aplicação da UFRJ (CAp-UFRJ). Além desses documentos, a pesquisa se baseia na coleta de dados entre os professores de Desenho do CPII e CAp-UFRJ, e se debruça no questionamento sobre a utilização da cultura indígena no ensino de Desenho. O resultado esperado para a pesquisa é perceber a inserção da lei 11.645/2008 de maneira oficial e extraoficial, a partir dos registros das possibilidades de atuação segundo os professores da área de Expressão Gráfica. Desta forma, busca-se trazer como informação uma possível resposta à pergunta da pesquisa: “É possível ensinar Desenho fazendo uso de referências não-brancas e contra hegemônicas?”. Destacamos a importância do tema para a investigação dos atuais alicerces para o ensino de Desenho na escola básica contemporânea, tentando expandir o cenário de atuação dentro da docência de Expressão Gráfica provocando reflexões sobre interculturalidade e reconhecendo as urgências sociais do contexto brasileiro por via do ensino de Desenho.
