Local;Data;Horário;ID do Trabalho;Título;Autor(es);Orientador(es);Resumo
Pólo Universitário / Campus Macaé Bloco: B Andar: 3° 308;22 Sep / SEG;13:00 às 14:30h;727;Fotobiomodulação: Princípios e Aplicações Práticas;"EDUARDA VITORIA DA SILVA SANTOS; GUILHERME YUKIO OHASHI; HENRIQUE FERNANDES TAVARES; JOAO FORTUNA FURTADO; JULIANA MENDONçA PEREIRA AMARAL; LUCAS DA SILVA; THAIS SOUZA NOVAIS";VIVIAN DE OLIVEIRA SOUSA CORRÊA;A fotobiomodulação (FBM), também conhecida como laserterapia de baixa potência, é uma técnica terapêutica que utiliza luz não ionizante para modular processos biológicos. Comumente, utiliza-se luz vermelha e infravermelha, cujos comprimentos de onda específicos são capazes de interagir com cromóforos nas células e desencadear respostas terapêuticas. Esta oficina tem como objetivo apresentar os princípios fundamentais da FBM e algumas aplicações práticas. Serão abordados os mecanismos de ação da FBM, os parâmetros de aplicação (comprimento de onda, dose, tempo de exposição) e as diferentes fontes de luz utilizadas (lasers e LEDs). Durante a oficina, serão discutidas algumas aplicações clínicas da FBM. Serão apresentados alguns aparelhos e como realizar a aplicação. Além disso, serão abordados aspectos de segurança e contraindicações da FBM. Espera-se que os participantes adquiram conhecimentos teóricos e práticos sobre a FBM, considerando utilizar essa ferramenta terapêutica de forma eficaz e segura em suas respectivas áreas de atuação.
Pólo Universitário / Campus Macaé Bloco: B Andar: 3° 309;22 Sep / SEG;13:00 às 14:30h;646;EXTEROGESTAÇÃO: O INÍCIO DA VIDA FORA DO ÚTERO;"BEATRIZ MACHADO SILVA; GABRIELA PEREIRA DA CONCEIÇÃO; GABRIELA PESCADOR DE CAMARGO; HELENE NARA HENRIQUES BLANC; MARIA FERNANDA DE AZEVEDO FALCAO; MILENA BATISTA CARNEIRO";TAIS FONTOURA DE ALMEIDA;"A exterogestação é um termo construído a partir de observações científicas e antropológicas, que começou a ser mais popularizado pelo antropólogo Ashley Montagu e pelo pediatra Harvey Karp (1). Ela é conhecida como os três primeiros meses da vida do bebê fora do útero, como uma extensão do processo gestacional. Diferente de outros mamíferos que já nascem quase totalmente independentes, os humanos ainda precisam de um período maior de ajuste para que seu sistema neurológico continue a se desenvolver após o nascimento (2). Esse termo se refere ao período de transição em que o recém-nascido começa a se adaptar ao mundo exterior e quais seriam os comportamentos e cuidados necessários para isso ocorrer de forma ideal. Os cuidadores devem fornecer um ambiente o mais parecido possível com o intrauterino, assim como cuidados contínuos para que o desenvolvimento do bebê seja o mais gradual e tranquilo nestes primeiros três meses. Para facilitar esse período de adaptação e tornar o ambiente menos estressante algumas estratégias podem ser implementadas: contato pele a pele, a amamentação em livre demanda, a disponibilidade de colo frequente, o uso de carregadores ergonômicos e de ruídos brancos; todos são cuidados de promoção de vínculo que é fundamental para a regulação emocional e fisiológica do bebê (3). O objetivo deste minicurso é promover um entendimento sobre o conceito de exterogestação e suas implicações para o cuidado nos primeiros 100 dias de vida, visando promover práticas de cuidado mais efetivas e embasadas em evidências científicas, com foco no desenvolvimento físico, emocional e neurológico do bebê, e capacitando os futuros profissionais de saúde para uma assistência de saúde integral. O público preferencial são alunos dos cursos de enfermagem, medicina e nutrição. Durante o minicurso os estudantes terão acesso a informações teóricas e práticas, além da oportunidade de conhecer diferentes modelos de carregadores, como o sling e o canguru, demonstração de como usá-los e materiais de apoio para mostrar como são os ruídos brancos. Será realizada uma demonstração prática de como utilizar esses dispositivos corretamente, respeitando os aspectos de segurança tanto para o bebê quanto para quem carrega. Essa prática visa introduzir como colocar essas estratégias mencionadas em prática na sua assistência, capacitando futuros profissionais a aplicá-las de forma humanizada e para que auxiliem famílias a lidarem com esse momento. Este entendimento é de suma relevância, pois oferece uma compreensão fundamental sobre os primeiros momentos da vida dessa criança e o impacto para seu desenvolvimento, fomenta práticas de cuidado baseadas em evidências científicas, além de contribuir para a formação de profissionais mais preparados a atuarem de forma mais sensível e integral."
Pólo Universitário / Campus Macaé - bl B - andar: 3º - sl 301/302 Bloco: Andar:;22 Sep / SEG;13:00 às 14:30h;685;Atualizações do tratamento farmacológico da diabetes mellitus tipo 2;"ANA CAROLINA VIERO DA SILVA; MARIA EDUARDA AQUINO DE AVILA; PAULA LIMA DO CARMO";SAMYRA SILVA ARAMUNI GONÇALVES;"Introdução: Diabetes Mellitus (DM) é uma doença metabólica crônica caracterizada por hiperglicemia, resultante da disfunção na secreção de insulina pelas células β-pancreáticas e/ou resistência periférica ao hormônio. A forma tipo 2 (DM2), responsável por até 95% dos casos totais, apresenta fisiopatologia multifatorial, envolvendo fatores genéticos, ambientais e individuais, geralmente associada à síndrome metabólica e também à alterações na secreção de incretinas. A hiperglicemia é assintomática e cronicamente leva a complicações crônicas microvasculares (retinopatia, nefropatia e neuropatia) e macrovasculares (doenças cardiovasculares), tornando o controle glicêmico desafiador. O manejo da DM2 deve associar mudanças no estilo de vida e terapia farmacológica. Objetivo e Metodologia: Este minicurso visa apresentar diretrizes atualizadas para o tratamento farmacológico da DM2, destacando abordagens práticas da terapêutica. O curso será ministrado pelas monitoras de Farmacologia e pela professora, em uma aula expositiva envolvendo as principais classes farmacológicas do DM2 incluindo: metformina, sulfonilureias, inibidores do transportador renal de absorção de glicose (SGLT2), incretinomiméticos, pioglitazona, acarbose e insulinas; objetivando melhorar o controle glicêmico, oferecer proteção vascular e prevenir lesões futuras. Além disso, será realizada discussão de casos clínicos que ilustrarão na prática a seleção de fármacos. O conteúdo será fundamentado principalmente na Diretriz da Sociedade Brasileira de Diabetes (2024) e no Protocolo Clínico para o Manejo da DM2 do Ministério da Saúde (2024), além de bibliografia internacional. Resultados: A partir do curso, espera-se que os participantes adquiram conhecimento atualizado sobre as diretrizes farmacológicas da DM2, desenvolvendo capacidade crítica para a escolha adequada dos fármacos conforme o perfil clínico. Espera-se, ainda, que os cursistas apliquem os conhecimentos na resolução de casos clínicos, promovendo uma abordagem terapêutica individualizada, baseada em evidências e estratificação de risco. Considerações finais: A atualização das diretrizes terapêuticas aos estudantes e profissionais de saúde é essencial para consolidar o manejo multiprofissional da DM2, visando otimizar o controle glicêmico, minimizar complicações e preservar a integridade dos órgãos-alvo."
Pólo Universitário / Campus Macaé - bl A - sl 213 - Laboratório de Informática (LIG A) Bloco: Andar:;22 Sep / SEG;13:00 às 14:30h;5628;SOLIDWORKS: MODELAGEM E SIMULAÇÃO DE PEÇAS;ROGÉRIO FERREIRA DE MORAES;TABATTA REGINA DE BRITO MARTINS;Curso Básico de SOLIDWORKS para Projeto e Simulação de Peças O SOLIDWORKS é um software líder em projeto mecânico e simulação, amplamente utilizado na indústria para criação de peças, montagens e análises estruturais. Este curso básico oferece uma introdução prática às principais ferramentas do software, capacitando o aluno a desenvolver projetos 2D e 3D, além de realizar simulações básicas de tensão e movimento. Conteúdo do Curso 1. Introdução ao SOLIDWORKS Interface e ferramentas básicas. Configuração de unidades e planos de trabalho. Métodos de navegação e visualização 3D. 2. Modelagem de Peças Sketches 2D (linhas, círculos, cotagem e relações geométricas). Recursos de extrusão, rotação, chanfro e arredondamento. Criação de furos, padrões lineares e circulares. 3. Montagens (Assemblies)  Inserção e posicionamento de componentes. Aplicação de restrições (mates) para movimentos controlados. Verificação de interferências e ajustes. 4. Desenho Técnico (Drawings) Geração de vistas ortogonais, cortes e detalhes. Cotagem e tolerâncias dimensionais. Exportação para PDF e DWG. 5. Simulação Básica (Simulation) Introdução ao SOLIDWORKS Simulation (análise estática). Aplicação de cargas, restrições e materiais. Interpretação de resultados (tensões, deformações e fatores de segurança). 6. Projeto Final Desenvolvimento de uma peça ou conjunto completo. Análise de resistência e otimização do design. Metodologia O minicurso prático, com exercícios guiados e projetos reais. Utiliza uma abordagem passo a passo, permitindo que iniciantes dominem as ferramentas. Público-Alvo Estudantes e profissionais de engenharia, design industrial e áreas técnicas, além de entusiastas que desejam ingressar no mundo do projeto 3D. Benefícios Domínio das ferramentas essenciais do SOLIDWORKS. Capacidade de projetar peças funcionais e montagens. Noções de análise estrutural para validar projetos. Com este curso, o aluno estará preparado para projetos mecânicos básicos e poderá avançar para módulos intermediários, como superfícies complexas, simulações dinâmicas e renderização. O minicurso será oferecido presencialmente durante a SIAC como uma atividade extra (modalidade do trabalho), atividade prevista para 2h ou 4h a depender do horário disponível no cronograma. Como o curso ocorrerá no lig, há a limitação de computadores que possuem o SolidWorks, por isso as vagas oferecidas serão limitadas de acordo com a capacidade do LIG (A ou C) disponível para o curso. Portanto, a quantidade de vagas e a duração do curso (o conteúdo será ajustado) serão definidas de acordo com o cronograma da SIAC e disponibilidade do laboratório de informática da graduação (LIG).
Pólo Universitário / Campus Macaé Bloco: B Andar: 2° 212;22 Sep / SEG;13:00 às 14:30h;6257;Ações de segurança do paciente no suporte avançado de vida em pediatria: uma abordagem interdisciplinar.;"ANNY NEVES PRUST JUNGER; BEATRIZ SILVA DOS SANTOS GUIMARÃES; BRUNA TAVARES UCHOA DOS SANTOS; GRAZIELE RIBEIRO BITENCOURT; JULIANA CARDOSO; LUCIA HELENA OLIVEIRA DA COSTA; MARIANA NASCIMENTO AGUIAR";RUTH DE SOUZA;"O atendimento à criança gravemente enferma é considerada um tema complexo, permeado por especificidades, que demandam conhecimento científico especializado e, por vezes, uma temática pouco difundida nos cursos de graduação. As diretrizes para ressuscitação cardiopulmonar (RCP) em crianças são dividas em dois sistemas: intra-hospitalar e extra-hospitalar com cadeias de sobrevivência distintas (SBP, 2019). A capacitação dos profissionais de saúde e graduandos para atuarem de forma sistemática no ambiente hospitalar é fundamental para que seja possível oferecer assistência qualificada, livre de danos e segura para as crianças. Principalmente, tendo em vista as diversas habilidades especificas do atendimento para este grupo. O minicurso tem como objetivos: orientar os discentes quanto aos sinais de gravidade clínica que poderão anteceder uma PCR em crianças; Apresentar o protocolo da American Heart Association no manejo criança em parada cardiorrespiratória; Treinar os discentes na execução das técnicas utilizadas durante a RCP pediátrica; Discutir os conceitos da segurança do paciente inerentes ao atendimento à criança durante a RCP. A estratégia metodológica proposta para alcance dos objetivos são: Apresentação oral com uso de datashow; Utilização de simulação realística com uso de boncecos em laboaratório; Apresentação de casos clínicos para discutir os conceitos e contribuir para o aprendizado do fluxograma de atendimento proposto pela AHA. Os componentes da equipe irão contribuir na exposição oral e na simulação realística. Espera-se que o discente desenvolva habilidades nas técnicas na RCP e estejam aptos para identificar sinais de gravidade clínica na criança. Este minicurso visa contribuir para o atendimento de saúde mais qualificado à criança."
Pólo Universitário / Campus Macaé Bloco: B Andar: 2° 211;22 Sep / SEG;13:00 às 15:30h;345;Medicamentos em Libras: saúde para surdos;"BEATRIZ CASTARDO CRISTAL; CHERRINE KELCE PIRES; ESTER VITORIA BASILIO ANCHIETA; ISABELA PESSANHA DE MORAES";MARIA INGRID NEVES DE AZEVEDO;A despeito do domínio da Língua Portuguesa, o Brasil é casa de diversos idiomas que revelam a necessidade de expressão da sociedade pluricultural brasileira. Da mesma forma surgiu a Língua Brasileirade Sinais (Libras), sistema linguístico de natureza gestual-visual, com estrutura gramatical própria, utilizada pelos Surdos. No entanto, apesar de ser língua oficial brasileira desde 2002, a Libras ainda subutilizada em território nacional, inclusive nos círculos de onde se espera o contrário, como os profissionais da saúde que lidam com Surdos. À vista disso, torna-se essencial difundir conhecimentos sobre Libras entre discentes de cursos da área da Saúde, que tem se materializado através do trabalho do Grupo de Pesquisas em Inclusão de Surdos (GPIS), que se dedica atualmente a produzir, catalogar e publicar sinais termo de fármacos disponibilizados na rede pública do município de Macaé (RJ). Esta oficina, portanto, visa difundir os sinais dos medicamentos produzidos pelo GPIS e já publicados em seus canais e em um E-book, à estudantes e profissionais interessados na temática, auxiliando na comunicação de pessoas Surdas usuárias de Libras.
Pólo Universitário / Campus Macaé Bloco: B Andar: 2° 211;22 Sep / SEG;13:00 às 15:30h;346;Oficina de Libras: Atendimento humanizado à mulher Surda na saúde.;"BEATRIZ CASTARDO CRISTAL; CHERRINE KELCE PIRES; EMILY VITORIA MARTINS CORREA; ESTER VITORIA BASILIO ANCHIETA";MARIA INGRID NEVES DE AZEVEDO;O curso de extensão “Gpis em ação: Sobre Libras e Saúde da Mulher Surda” foi idealizado e executado pelo Grupo de Pesquisa em Inclusão de Surdos (Gpis), vinculado à UFRJ - Macaé. A proposta surgiu a partir da observação da falta de preparo dos profissionais para atender pessoas da comunidade surda (Santos, 2025) e da necessidade de promover a inclusão no atendimento à saúde dessa população, especialmente no cuidado ginecológico e obstétrico, e que questões relacionadas à privacidade se tornam ainda mais sensíveis (Carvalho, 2001). Assim, o curso teve como principal objetivo capacitar profissionais da área da saúde e estudantes para oferecer um atendimento mais acolhedor, acessível, inclusivo e humanizado a mulheres surdas que utilizam a Libras como primeira língua. O curso, executado em 2024.2, visou proporcionar uma formação teórica e prática sobre Libras aplicada à saúde, com ênfase em aspectos essenciais da anamnese, sinais técnicos e vocabulário específico voltado à ginecologia e obstetrícia. A metodologia adotada consistiu na realização de um curso extracurricular com carga horária total de 35 horas, distribuídas entre atividades presenciais e remotas, com encontros semanais. Os conteúdos abordaram desde a Introdução à Libras até tópicos mais específicos, como Propedêutica Médica e Saúde da Mulher em Libras. Durante o curso, ocorreram atividades dinâmicas, como simulações de atendimento e exercícios de fixação, proporcionando um ambiente de aprendizagem colaborativo. Nos encontros, houve espaço para debates, partilha de experiências e reflexões sobre acessibilidade e ética. A equipe responsável pela execução do projeto foi composta por docentes, discentes e técnicos da UFRJ-Macaé Esta oficina é, portanto, uma ação compactada da extensão realizada, onde será ensinado os principais sinais relacionados à saúde da mulher, difundindo a importância de profissionais conscientes na área da saúde e motivados a promover um atendimento acessível, equitativo e digno à mulheres surdas, promovendo inclusão e acesso à informação de forma relevante.
Pólo Universitário / Campus Macaé Bloco: B Andar: 2° 211;22 Sep / SEG;13:00 às 15:30h;1137;Dinâmica: Inclusão em ação!;"ALINE LACERDA QUINTINO RESENDE; CHERRINE KELCE PIRES; DÉBORAH MACHADO DOS SANTOS; DENISE OLIVEIRA GUIMARAES; ESTER VITORIA BASILIO ANCHIETA; INÊS LEONEZA DE SOUZA; LUCAS REZENDE BORGES DE AZEVEDO; MARIA FERNANDA LARCHER DE ALMEIDA; MARIA INGRID NEVES DE AZEVEDO; MOISÉS PIRES TEIXEIRA; NELILMA CORREIA ROMEIRO";VALERIA NUNES BELMONTE 1;O presente trabalho, intitulado “Dinâmica: Inclusão em ação”, propõe a realização de uma oficina durante a SIAc, com o objetivo de promover a reflexão e estimular o engajamento de estudantes, técnicos e docentes em torno das práticas, dos conceitos e das legislações que garantem a participação plena das pessoas com deficiência (PcD) nos diferentes contextos da vida acadêmica, profissional e social. Utilizando estratégias participativas, pretende-se desconstruir estereótipos e estimular atitudes inclusivas, alinhadas aos princípios da Convenção sobre os Direitos das Pessoas com Deficiência e ao Estatuto da Pessoa com Deficiência (Lei nº 13.146/2015). Os principais objetivos são conscientização sobre a importância da inclusão e os direitos das PcD, desmistificar crenças comuns por meio da dinâmica “Verdade ou Mito”, apresentar conceitos-chave de acessibilidade, autonomia, dignidade e dispositivos legais, estimular a adoção de atitudes inclusivas no ambiente universitário e desenvolver propostas de ação coletiva para aprimorar práticas de inclusão. A metodologia foi pensada para articular teoria e prática num fluxo dinâmico, colaborativo e reflexivo, numa abordagem qualitativa e participativa, inspirada em metodologias ativas de ensino. A ênfase está na construção coletiva do saber, na troca de experiências e na problematização de cenários reais de inclusão. Na atividade integradora com cartas, todos os participantes explorarão diferentes conceitos e situações práticas sobre inclusão da PcD e debaterão cada enunciado, fundamentando suas argumentações em evidências e na legislação vigente. Ao final da atividade será aplicado um questionário de avaliação da mesma, com o intuito de monitorar o aprendizado adquirido, bem como possíveis melhorias em outras oficinas com essa temática, colaborando assim, para uma continua otimização das atividades futuras sobre o tema de acessibilidade e inclusão. Como resultados esperamos a ampliação do conhecimento sobre direitos e leis referente às PcD, combater o capacitismo ao confrontar mitos com realidade social e formação de rede de multiplicadores capacitados para promover ações inclusivas em suas áreas de atuação. Contudo, espera-se que os participantes saiam não apenas informados, mas comprometidos com a causa da inclusão, aptos a questionar práticas excludentes e a propor mudanças estruturais e culturais. A dinâmica interativa fortalece a empatia e a corresponsabilidade, criando um ambiente propício para que a universidade atue efetivamente como agente de transformação social em favor das PcD.
Pólo Universitário / Campus Macaé Bloco: B Andar: 2° 213;22 Sep / SEG;13:00 às 15:30h;426;OFICINA DE LIBRAS− INTRODUÇÃO À COMUNICAÇÃO;"ESTER VITORIA BASILIO ANCHIETA; FERNANDA BARBOSA DA CUNHA; MARCELA GONCALVES SIQUEIRA DOS SANTOS; MARIANA TEIXEIRA CEZATI; PEDRO CORRêA NASCIMENTO";WILLIAM GUIMARAES DE LIMA;A Disciplina de Libras (Língua Brasileira de Sinais) nos cursos de licenciatura em universidades é de extrema importância para promover a inclusão, a acessibilidade e o respeito à diversidade linguística no ambiente acadêmico e posteriormente, ambiente laboral. A Libras é reconhecida legalmente como meio de comunicação e expressão das comunidades surdas no Brasil, e sua disseminação em espaços educacionais é essencial para garantir os direitos linguísticos dessas pessoas. Esta oficina caracteriza-se como uma extensão da disciplina ofertada e tem como principal objetivo conscientizar estudantes, professores e servidores técnicos-administrativos para que possam se comunicar com pessoas surdas de forma eficiente, respeitosa e empática, através de discussões teóricas e ensino prático de sinais de comunicação básica. Além de contribuir para a formação de uma universidade mais inclusiva, essa atividade auxilia na quebra de barreiras comunicacionais e atitudinais que muitas vezes limitam a participação plena de surdos nas atividades acadêmicas, sociais e culturais da instituição. No contexto da educação superior, onde o conhecimento é construído coletivamente, é fundamental que todos os indivíduos tenham as mesmas oportunidades de acesso à informação. Ao promover oficinas de Libras, a universidade não apenas amplia o repertório comunicativo de seus membros, mas também estimula o desenvolvimento de uma cultura de inclusão, favorecendo a convivência entre pessoas ouvintes e surdas de maneira mais integrada (Anchieta, 2022). Além disso, o ensino de Libras pode impactar positivamente diversas áreas do conhecimento, como a educação, a saúde, o direito, o serviço social e a comunicação, preparando futuros profissionais para lidar com a diversidade humana em suas práticas cotidianas. Essa formação é especialmente relevante diante da crescente demanda por acessibilidade em serviços públicos e privados. Portanto, este trabalho representa uma estratégia eficaz e necessária para transformar a universidade em um espaço mais democrático, equitativo e acolhedor, contribuindo para a construção de uma sociedade que valoriza as diferenças e promove a cidadania plena para todos.
Pólo Universitário / Campus Macaé Bloco: B Andar: 3° 303;22 Sep / SEG;13:00 às 15:30h;2376;OFICINA SOBRE SETEMBRO VERMELHO: PREVENÇÃO DE DOENÇAS CARDIOVASCULARES NA PROMOÇÃO DE UM ENVELHECIMENTO ATIVO;"ANA CLARA DE MORAES DUARTE; CELIA CRISTINA DIOGO FERREIRA; GIOVANA SECCO ALBERTO SOUZA; KAUANE TAVARES DE OLIVEIRA; LANA SILVA SHIBASAKI ENGEL; LISA XU NG; MANUELLA RANGEL DE SOUZA";ROBERTA MELQUIADES SILVA DE ANDRADE;
